,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
1459,Netherlands,2002,1974/4032(L),4032(L),31328,Modernizing Government and Fiscal Reform in Kerala
1461,Netherlands,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
1465,Netherlands,2003,2064/2065/4299(L),4299(L),32359,Participatory Irrigation Sector
1467,Netherlands,2004,2109/4560(L),4560(L),37135,Supporting Public Resource Management Reforms in Balochistan
1495,Netherlands,2008,2477/0129-0130,0129-0130,37381,Dry Zone Urban Water and Sanitation
1523,New Zealand,2006,1823/G0043/G0044,G0043,34513,Post-Conflict Emergency Rehabilitation (Supplementary)
1524,New Zealand,2006,1823/G0043/G0044,G0044,34513,Post-Conflict Emergency Rehabilitation (Supplementary)
1577,Norway,1991,1137/1633(L)/1842(L),1633(L),24250,Second NGO Microcredit
1578,Norway,1991,1137/1633(L)/1842(L),1842(L),24250,Second NGO Microcredit
1583,Norway,1994,1213/2232(L),2232(L),26041,Rural Poor Cooperative
1585,Norway,1994,1300/2194(L),2194(L),,Telecommunications
1587,Norway,1994,1300/2194(L),2194(L),,Telecommunications
1589,Norway,1994,1327/2277(L),2277(L),,Microcredit
1600,Norway,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
1604,Norway,2005,2188-2189/G0019,2188-2189,35242,Gas Transmission and Development
1605,Norway,2005,2188-2189/G0019,G0019,35242,Gas Transmission and Development
1617,Norway,2011,2808/G0270/G0271,G0270,41155,Electricity Transmission Expansion and Supply Improvement
1618,Norway,2011,2808/G0270/G0271,G0271,41155,Electricity Transmission Expansion and Supply Improvement
1619,Norway,2011,G0272/0289,G0272,35174-082,School Sector Program
1629,OFID,1973,0171-0172,0171-0172,,Multan Fertilizer
1641,OFID,1978,0390-0391,0390-0391,,Pipri Thermal Generation
1683,OFID,1999,1697/3398(L),3398(L),28338,Primary Roads Restoration
1695,OFID,2001,1846/3742(L),3742(L),34442,North East Community Restoration and Development
1730,OFID,2007,2398-2399/0102,2398-2399,,Lae Port Development
1796,Saudi Arabia,1975,0252-0253,0252-0253,,Mirpur Mathelo Fertilizer
1798,Saudi Arabia,1978,0390-0391,0390-0391,,Pipri Thermal Generation
1806,Saudi Arabia,2005,2205-2206,2205-2206,35457,East-West Highway Improvement
1808,SCF-PPCR,2011,2839/G0278/8254,G0278,43309,Provincial Roads Improvement
1811,SCF-PPCR,2011,2839/G0278/8254,G0278,43309-013,Provincial Roads Improvement
1860,SCF-PPCR,2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1861,SCF-PPCR,2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1862,SCF-PPCR,2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1864,SCF-PPCR,2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1865,SCF-PPCR,2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1866,SCF-PPCR,2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1888,Sri Lanka,2002,1910-1911,1910-1911,,Aquatic Resources Development and Quality Improvement
1895,Sweden,1998,1663-1665,1663-1665,,Metro Manila Air Quality Improvement Sector Dev. Program
1896,Sweden,1998,1663-1665,1663-1665,,Metro Manila Air Quality Improvement Sector Dev. Program
