Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
Asian Development Bank,France,2001,2001,,1834,,,,LAO,Vientiane Urban Infrastructure and Services,SERD,SESS,08/23/2001,0,25,0,,25,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
AFD,France,2001,2001,,1834,,,,LAO,Vientiane Urban Infrastructure and Services,SERD,SESS,08/23/2001,,,,,0,4.4,,,4.4,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,08/23/2001,,,,,Sovereign,,,,PCR July 2008.  AFD amt to be adj Dec10.  ADB       AFD from $4.4 to $,
70,0,0,70,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,Netherlands",2002,2002,,1855/3892(L),30292,,,VIE,Second Red River Basin Sector,SERD,SEAE,06/27/2002,0,70,0,,70,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,Succesful,,,,
AFD,France,2002,2001,,1855/3892(L),30292-01,,,VIE,Second Red River Basin Sector,SERD,SEAE,06/27/2002,,,,,0,,30,,30,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,06/27/2002,,,,,Sovereign,Succesful,,,Adj. Dec03.,
0,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,World Bank",2001,2001,,1857,,,,VIE,Far East Medical Viet Nam Ltd.,PSOD,PSOD,11/13/2001,10,0,0,,10,,,,,,,,,,OCR,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
60,0,0,60,0,11,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,Norway",2001,2001,,1880,28315,,,VIE,Third Provincial Towns Water Supply & Sanitation,SERD,SESS,12/13/2001,0,60,0,,60,,,,,,,,,,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
AFD,France,2001,2001,,1880,28315,,,VIE,Third Provincial Towns Water Supply & Sanitation,SERD,SESS,12/13/2001,,,,,0,,11,,11,Non-DVA,,,Bilateral,Loan,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,12/13/2001,,,,,Sovereign,,,,,
