Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
EIB,EIB,2014,2014,,0409/0410/0429,46122-003,,,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0,,50,,50,DVA,PS,Collaborative,Multilateral,Loan,,3200,Energy,,"Conventional Energy Generation, Renewable Energy ﾖ Solar, Energy Efficiency and Conservation",,,,No,,09/29/2014,,,,,Sovereign,,,,,
0,0,0,16,0,13.3,0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,EIB",1981,1981,,536,,,,FIJ,Third Power,PARD,,11/10/1981,16,0,0,,16,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,1981,1981,,536,,,,FIJ,Third Power,PARD,,11/10/1981,,,,,0,,13.3,,13.3,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,11/10/1981,,,,,Sovereign,,,,,
5.4,0,0,5.4,0,2.54,0,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,World Bank,EC",1986,1986,,813,,,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,0,5.4,0,,5.4,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,1986,1986,,813,,,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,,,,,0,,2.54,,2.54,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/14/1986,,,,,Sovereign,,,,,
0,0,0,70.4,0,35.6,0,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,EIB,World Bank",1993,1993,,1276,26347,,,THA,Second Erawan Gas Transmission,SERD,SEEN,12/02/1993,70.4,0,0,,70.4,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,GS,,,,
EIB,EIB,1993,1993,,1276,26347,,,THA,Second Erawan Gas Transmission,SERD,SEEN,12/02/1993,,,,,0,,35.6,,35.6,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,12/02/1993,,,,,Sovereign,GS,,,PCR Oct-97 Adj from $46 to $35.6,
0,0,0,39.75,0,23.19,0,23.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,1994,1994,,1333,,,,PHI,Airport Development,SERD,SEID,11/24/1994,39.75,0,0,,39.75,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,1994,1994,,1333,,,,PHI,Airport Development,SERD,SEID,11/24/1994,,,,,0,,23.19,,23.19,Non-DVA,,,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/24/1994,,,,,Sovereign,,,,PCR Dec05. Adj Dec07 EIB from31.30 to $23.19,
0,0,0,217.83,0,125.25,0,125.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,EIB",1995,1995,,1357,,,,INO,Gas Transmission and Distribution,SERD,SEID,06/08/1995,217.83,0,0,,217.83,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,HS,,,,
EIB,EIB,1995,1995,,1357,,,,INO,Gas Transmission and Distribution,SERD,SEID,06/08/1995,,,,,0,,125.25,,125.25,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,06/08/1995,,,,,Sovereign,HS,,,Adj Dec06 from $58 to $125.25 ref PCR,
0,0,0,130,0,59.82,0,59.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,EIB",1995,1995,,1419,,,,PRC,Ping Hu Oil and Gas Development,EARD,EAEN,12/21/1995,130,0,0,,130,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,HS,,,,
EIB,EIB,1995,1995,,1419,,,,PRC,Ping Hu Oil and Gas Development,EARD,EAEN,12/21/1995,,,,,0,,59.82,,59.82,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,12/21/1995,,,,,Sovereign,HS,,,"adj 5Aug97. Adj in Dec04 from $64 to $59.82 ref PCR IN68-04, 25May04.",
0,0,0,300,0,60,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Germany,Japan,EIB,IsDB,World Bank",1996,1996,,1424,,,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,300,0,0,,300,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2010. Case Study: Clean Power to Benefit All, pp 18-19."
EIB,EIB,1996,1996,,1424,,,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,,,,,0,,60,,60,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,01/18/1996,,,,,Sovereign,,,,"PCR IN 208-05, 15Aug05.","DR 2010. Case Study: Clean Power to Benefit All, pp 18-19."
0,0,0,40,0,22.5,0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,EIB,World Bank",1997,1997,,1597,,,,BAN,Lafarge Surma Cement Ltd,PSOD,,12/18/1997,40,0,0,,40,,,,,,,,,,OCR,3500,Industry and Trade,,,,,Private Sector Development,,,,,,,,,,,,,
EIB,EIB,1997,1997,,1597,,,,BAN,Lafarge Surma Cement Ltd,PSOD,,12/18/1997,,,,,0,,22.5,,22.5,Non-DVA,,,Multilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,12/18/1997,,,,,Non-Sovereign,,,,,
0,0,0,26.5,0,26.5,0,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Belgium,EIB",1999,1999,,1669,,,,PRC,Chengdu Generale Des Eaux-Marubeni Waterworks Company Limited,PSOD,,02/11/1999,26.5,0,0,,26.5,,,,,,,,,,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
EIB,EIB,1999,1999,,1669,,,,PRC,Chengdu Generale Des Eaux-Marubeni Waterworks Company Limited,PSOD,,02/11/1999,,,,,0,,26.5,,26.5,Non-DVA,,,Multilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,02/11/1999,,,,,Non-Sovereign,,,,,
0,0,0,150,0,50,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,2001,2001,,1851,,,,PRC,Guangxi Roads Development,EARD,,10/30/2001,150,0,0,,150,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,2001,2001,,1851,,,,PRC,Guangxi Roads Development,EARD,,10/30/2001,,,,,0,,50,,50,Non-DVA,,,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,10/30/2001,,,,,Sovereign,,,,EIB Board of Directors approved the loan on 26Jun01.,
0,0,0,20,0,52,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,EIB,World Bank",2005,2005,,2162,37734,,,LAO,GMS: Nam Theun 2 Hydroelectric,SERD,SEID,04/04/2005,20,0,0,,20,,,,,,,,,,OCR,3200,Energy,,,,,,,,,,,,,,,,,,
EIB,EIB,2005,2005,,2162,37734,,,LAO,GMS: Nam Theun 2 Hydroelectric,SERD,SEID,04/04/2005,,,,,0,,52,,52,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,04/04/2005,,,,,Sovereign,,,,ﾀ40.0 million.,
0,0,0,225,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Germany,EIB",2008,2008,,2476,,,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,225,0,0,,225,,,,,,,,,,OCR,3200,Energy,,,,,,,,,,,,,,,,,,
EIB,EIB,2008,2008,,2476,,,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,,,,,0,,100,,100,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,11/27/2008,,,,,Non-Sovereign,,,,From collaborative to non DVA (24Mar10),
0,0,0,0,0,95,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIB,EIB,2011,2011,,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0,,95,,95,DVA,,Collaborative,Multilateral,Loan,OCR,3700,Transport and ICT,,Urban Transport,,,,,,03/29/2011,03/13/2012,,,,Sovereign,,,,Euro 73 million,
50,0,0,90,0,50,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,2015,2015,,2783/2784,43200-024,,,PNG,Bridge Replacement for Improved Rural Access Sector,PARD,PNRM,08/24/2015,40,50,,,90,,,,,,,,,,,3700,Transport,3701,Road Transport (Non-Urban),,,,,,,,,,,,,,,,
EIB,EIB,2015,2015,,2783/2784,43200-024,,,PNG,Bridge Replacement for Improved Rural Access Sector,PARD,PNRM,08/24/2015,,,,,0,,50,,50,DVA,PS,Collaborative,Multilateral,Loan,,3700,Transport,,,08/24/2015,,,No,,08/24/2015,,,,Approved,Sovereign,,,,,
0,0,0,500,0,195,0,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Germany,EIB",2012,2012,,2956,39500-033,52,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,500,,,,500,,,,,,,,,,,3700,Transport and ICT,3711,Urban Transport,,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in SERD section on New Initiatives, pp 25."
EIB,EIB,2012,2012,,2956,39500-033,52,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,,,,,0,,195,,195,DVA,PS,Collaborative,Multilateral,Loan,,3700,Transport and ICT,,Urban Transport,,,,Yes,,11/27/2012,,,,,Sovereign,,,,Joint collaborative cofinancing,"DR 2012. para in SERD section on New Initiatives, pp 25."
0,0,0,185,7,91,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,IsDB",2012,2012,320,2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,185,,,,185,,,,,,,,,,,3200,Energy,3214,Energy Efficiency and Conservation,,,Sustainable Economic Growth,,,,,,,,,,,,MFF 0073 approved 28 Nov 2012,"DR 2012. para in SARD section on New Joint Initiatives, pp 20."
EIB,EIB,2012,2012,320,2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0,7,,,7,DVA,PS,Collaborative,Multilateral,Grant,,3200,Energy,,Energy Efficiency and Conservation,,,,,,11/28/2012,,,,,Sovereign,,,,from ADB-administered to collab following 3Feb2014 memo of SAEN,"DR 2012. para in SARD section on New Joint Initiatives, pp 20."
EIB,EIB,2012,2012,2966 (CL),2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0,,91,,91,DVA,,Collaborative,Multilateral,Loan,,3200,Energy,,Energy Efficiency and Conservation,,,,No,,11/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 20."
0,0,0,0,0,21,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,2014,2014,320,2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary),SARD,SAEN,02/19/2014,,,,,0,,,,,,,,,,,3200,Energy,3214,Energy Efficiency and Conservation,,,Sustainable Economic Growth,,,,,,,,,,,,MFF 0073 approved 28 Nov 2012,"DR 2012. para in SARD section on New Joint Initiatives, pp 20."
EIB,EIB,2014,2014,2966 (CL),2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary),SARD,SAEN,02/19/2014,,,,,0,,21,,21,DVA,PS,Collaborative,Multilateral,Loan,,3200,Energy,,Energy Efficiency and Conservation,,,,Yes,,02/19/2014,,,,,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 20."
150,0,0,150,0,85,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,2014,2014,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,07/18/2014,,,,,0,,,,,,,,,,,3200,Energy,3202,Large Hydropower,,,Sustainable Economic Growth,,,,,,,,,,,,"additional collab cofinancing, informed OCO thru memo from SAEN with signed aide memoire",
Asian Development Bank,"Japan,EIB,ADFD",2013,2013,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,150,,,150,,,,,,,,,,,3200,Energy,3202,Large Hydropower,,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,2013,2013,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0,,70,,70,DVA,PS,Collaborative,Multilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,Joint collaborative cofinancing,
EIB,EIB,2014,2014,2990 (CL),2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,07/18/2014,,,,,0,,15,,15,DVA,PS,Collaborative,Multilateral,Loan,,3200,Energy,,Large Hydropower,07/18/2014,,,Yes,,07/18/2014,,,,,Sovereign,,,,Joint collaborative cofinancing,
0,0,0,100,0,79.2,0,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,Neighbourhood Investment Facility",2013,2013,,2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,100,,,,100,,,,,,,,,,,3700,Transport,3701,Road Transport (Non-Urban),,,Regional Cooperation,,,,,,,,,,,,"memo on collaborative cofinancing approved by Director, CWTC",
EIB,EIB,2013,2013,2993 (CL),2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,,,,,0,,79.2,,79.2,DVA,PS,Collaborative,Multilateral,Loan,,3700,Transport,,,,,,No,,09/27/2013,,,,,Sovereign,,,,,
0,0,0,0,0,50,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,2015,2015,,3020/3021/0404,46260,,,TIM,Road Network Upgrading SectorﾗAdditional Cofinancing,PARD,PATE,11/20/2015,,,,,0,,,,,,,,,,,3700,Transport,,,,,,,,,,,,,,,,,EIB letter is dated 20 Nov 2015. AM to follow,
EIB,EIB,2015,2015,,3020/3021/0404,46260,,,TIM,Road Network Upgrading SectorﾗAdditional Cofinancing,PARD,PATE,11/20/2015,,,,,0,,50,,50,DVA,PS,Collaborative,Multilateral,Loan,,3700,Transport,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,
250,0,0,250,0,136,0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,EIB",2013,2013,,3051/8292,42173-013,,,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,,250,,,250,,,,,,,,,,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
EIB,EIB,2013,2013,3051 (CL),3051/8292,42173-013,,,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,,,,,0,,136,,136,DVA,PS,Collaborative,Multilateral,Loan,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/22/2013,,,,,Sovereign,,,,Revised cofin amount from $100m to $136m (ref. N Saito memo on minor change in project);  Joint collaborative cofinancing,
22.5,0,0,50,0,28.38,0,28.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,UFPF-UEIF",2013,2013,380,3098/3099/0380,45007-004,78,,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,EARD,EASS,12/12/2013,27.5,22.5,,,50,,,,,,,,,,,3800,Water and Other Municipal Infrastructure and Services,"3801, 3811, 3812, 3813","Water Supply and Sanitation,Slum Upgrading and Housing,Other Municipal Services,Urban Sector Development",,,Environment Sustainability,,,,,,,,,,,,,
EIB,EIB,2013,2013,,3098/3099/0380,45007-004,78,,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,EARD,EASS,12/12/2013,,,,,0,,28.38,,28.38,DVA,FW,Collaborative,Multilateral,Loan,,3800,Water and Other Municipal Infrastructure and Services,,"Water Supply and Sanitation, Slum Upgrading and Housing, Other Municipal Services, Urban Sector Development",,,,No,,12/12/2013,,,,,Sovereign,,,,,
180,0,0,180,0,120,0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Norway,EIB,SCF-SREP",2014,2014,,3139/0397/0398,44219-014,,,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,SARD,SAEN,07/04/2014,,180,,,180,,,,,,,,,,,3200,Energy,"3203, 3211","Renewable Energy,Electricity Transmission and Distribution",,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,2014,2014,3139 (CL),3139/0397/0398,44219-014,,,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,SARD,SAEN,07/04/2014,,,,,0,,120,,120,DVA,PS,Collaborative,Multilateral,Loan,,3200,Energy,,"Renewable Energy, Electricity Transmission and Distribution",04/22/2014,,,No,,07/04/2014,,,,,Sovereign,,,,,
105,0,0,505,0,175,0,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,2014,2014,,3169/3170,46168-001,,,BAN,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,SARD,SATC,09/30/2014,400,105,,,505,,,,,,,,,,,3700,Transport,3703,Rail Transport (Non-Urban),,,,,,,,,,,,,,,,
EIB,EIB,2014,2014,3169 (CL),3169/3170,46168-001,,,BAN,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,SARD,SATC,09/30/2014,,,,,0,,175,,175,DVA,PS,Collaborative,Multilateral,Loan,,3700,Transport,,Rail Transport (Non-Urban),,,,No,,09/30/2014,,,,,Sovereign,,,,Joint collaborative cofinancing,
0,0,0,200,0,253,0,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,2014,2014,,3186,46268-002,,,IND,Clean Energy Finance Investment Program ﾖ Tranche 1 ,SARD,SAPF,12/10/2014,200,,,,200,,,,,,,,,,,3300,Finance,3312,Infrastructure Finance and Investment Funds,,,,,,,,,,,,,,,,
EIB,EIB,2014,2014,,3186,46268-002,,,IND,Clean Energy Finance Investment Program ﾖ Tranche 1 ,SARD,SAPF,12/10/2014,,,,,0,,253,,253,DVA,PS,Collaborative,Multilateral,Loan,,3300,Finance,,Infrastructure Finance and Investment Funds,,,,No,,12/10/2014,,,,,Sovereign,,,,,
35,0,0,35,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,GEF,OFID,AsIF",2015,2015,3250,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,35,,,35,,,,,,,,,,,3700,Transport,3715,Urban Public Transport,,,,,,,,,,,,,,,,
EIB,EIB,2015,2015,471,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0,,20,,20,DVA,PS,Collaborative,Multilateral,Loan,,3700,Transport,,Urban Public Transport,,,,No,,03/10/2015,,,,,Sovereign,,,,,
5,0,0,128,0,50,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EIB,2015,2015,3348/3349,3348/3349,45148-008,,,SRI,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3,SARD,SAUW,12/08/2015,123,5,,,128,,,,,,,,,,,3800,Water and Other Urban Infrastructure and Services,"3816, 3814, 3817","Urban Sewerage,Urban Water Supply,Urban Sanitation",,,,,,,,,,,,,,,,
EIB,EIB,2015,2015,3348/3349,3348/3349,45148-008,,,SRI,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3,SARD,SAUW,12/08/2015,,,,,0,,50,,50,DVA,PS,Collaborative,Multilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,,,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,
5.8,0,0,64.8,0,77,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"CTF,EIB,AFD,DGT",2015,2015,8302,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,59,5.8,,,64.8,,,,,,,,,,,3700,Transport,,,,,,,,,,,,,,,,,,
EIB,EIB,2015,2015,3363/3364,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,77,,77,DVA,PS,Collaborative,Multilateral,Loan,,3700,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,
,,,,,,,,,,,0,0,0,0,0,0,17.16,0,17.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,17.16,0,17.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export-Import Bank of India,"India,Export-Import Bank of India",2015,2015,3225/3226,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0,,17.16,,17.16,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,,,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,,,,,
,,,,,,,,,,,58.5,184.7,107.3,0,350.5,24.19,13.32,0,37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,0,15,4.74,0,0,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Finland,2005,2005,,0034/0035,,,,CAM,Tonle Sap Sustainable Livelihoods,SERD,SEAE,12/21/2005,0,0,15,,15,,,,,,,,,,ADF Grant,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,Partly successful,,,no project number,
Finland,Finland,2005,2005,35,0034/0035,,,,CAM,Tonle Sap Sustainable Livelihoods,SERD,SEAE,12/21/2005,,,,,0,4.74,,,4.74,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3000,Agriculture and Natural Resources,,,,,,,,12/21/2005,03/03/1971,,12/29/1977,,Sovereign,Partly successful,,,,
16.7,0,0,16.7,0,1.4,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Finland,1983,1983,,633,,,,NEP,Hill Forest Development,SARD,AWFN,08/09/1983,0,16.7,0,,16.7,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Finland,Finland,1983,1983,,633,,,,NEP,Hill Forest Development,SARD,AWFN,08/09/1983,,,,,0,,1.4,,1.4,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,08/09/1983,,,,,Sovereign,,,,,
44.6,0,0,44.6,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Finland,1983,1983,,665,,,,MYA,Rangoon General Hospital,SERD,SESS,12/08/1983,0,44.6,0,,44.6,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
Finland,Finland,1983,1983,,665,,,,MYA,Rangoon General Hospital,SERD,SESS,12/08/1983,,,,,0,,4,,4,Non-DVA,,,Bilateral,Loan,ADF,3400,Health and Social Protection,,,,,,,,12/08/1983,,,,,Sovereign,,,,,
0,0,0,28,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Finland,1985,1985,,762,,,,INO,Forestry Development,SERD,SEAE,11/28/1985,28,0,0,,28,,,,,,,,,,OCR,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Finland,Finland,1985,1985,,762,,,,INO,Forestry Development,SERD,SEAE,11/28/1985,,,,,0,,2,,2,Non-DVA,,,Bilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,11/28/1985,,,,,Sovereign,,,,,
120,0,0,120,0,0.92,0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Finland,Japan",1988,1988,,889,16116,,,PHI,Forestry Sector Program,SERD,SEAE,06/28/1988,0,120,0,,120,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Finland,Finland,1988,1988,,889,,,,PHI,Forestry Sector Program,SERD,SEAE,06/28/1988,,,,,0,,0.92,,0.92,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,06/28/1988,,,,,Sovereign,,,,,
0,0,0,30.5,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Germany,Finland,Cities Alliance",2003,2003,,2063,32499,,,PHI,Development of Poor Urban Communities Sector,SERD,SESS,12/19/2003,30.5,0,0,,30.5,,,,,,,,,,OCR,3900,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
Finland,Finland,2003,2003,,2063,32499,,,PHI,Development of Poor Urban Communities Sector,SERD,SESS,12/18/2003,,,,,0,,5,,5,Non-DVA,,,Bilateral,Loan,OCR,3900,Multisector,3900,,,,,,,12/18/2003,,,,,Sovereign,,,,Concessional loan funds expected.  CF approval expected in the first half of 2004.,
0,0,0,0,0.5,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
