partner,year,approval_numbers_cofin,approval_number,proj_no,loan_grant_title
GAFSP,2013,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
GEF,2013,2835/0364,2835,44012-013,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing
GEF,2013,2835/0364,0364,44012-013,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing
GEF,2013,3094/0379,3094,46421-001,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative
GEF,2013,3094/0379,0379,46421-001,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative
IsDB,2013,3087,3087,42378-016,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2
IsDB,2013,3090/3091/3092,3090,47094-001,Jamshoro Power Generation
IsDB,2013,3090/3091/3092,3091,47094-001,Jamshoro Power Generation
IsDB,2013,3090/3091/3092,3092,47094-001,Jamshoro Power Generation
Japan,2013,365,0365,46265-001,Energy Efficiency for Ho Chi Minh City Water Supply
Japan,2013,2730,2730,41414-043,Greater Mekong Subregion Ben Luc-Long Thanh Expressway - Tranche 1
Japan,2013,2990/2991,2990,43281-013,Tanahu Hydropower
Japan,2013,2990/2991,2991,43281-013,Tanahu Hydropower
Japan,2013,3025/3026,3025,44458-013,Amu Bukhara Irrigation System Rehabilitation
Japan,2013,3025/3026,3026,44458-013,Amu Bukhara Irrigation System Rehabilitation
Japan,2013,3045/3046,3045,42180-013,Second Public-Private Infrastructure Development Facility
Japan,2013,3045/3046,3046,42180-013,Second Public-Private Infrastructure Development Facility
Japan,2013,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
Japan,2013,9170,9170,46010-001,Women's Entrepreneurship Development
Japan,2013,9171,9171,46077-001,Improved Maternal and Child Health through Connectivity
Japan,2013,9172,9172,46284-001,Pilot Project on Weather Index-Based Crop Insurance
Japan,2013,9173,9173,46074-001,Greater Mekong Subregion: Livelihood Support for Corridor Towns
Japan,2013,9174,9174,47311-001,Enhancing Rural Livelihoods and Incomes
Japan,2013,9175,9175,47338-001,Emergency Assistance and Early Recovery for Poor Municipalities Affected by Typhoon Yolanda 
Japan,2013,9176,9176,46490-001,Greater Mekong Subregion (GMS) Capacity Building for HIV/AIDs Prevention
Korea,2013,3013/0353,3013,40255-033,Central Mekong Delta Region Connectivity 
