Year,Loan / Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total,ADB Approval
1980,0505,PAK,Load Despatch and Transmission,,,,,,,IDA,0.00,45.00,,
1980,0505,PAK,Load Despatch and Transmission,,,,,,,NIB,0.00,7.00,,
1980,0505,PAK,Load Despatch and Transmission,,,,,,,Norway,0.00,3.60,,
1980,0505,PAK,Load Despatch and Transmission,,,,,,,Sida,0.00,4.30,,
1980,0479,INO,Lower Citanduy Irrigation,,55.20,0.00,0.00,0.00,55.20,EC,0.00,4.90,4.90,13-Nov-1980
1980,0457,PHI,Manila Sewerage,,42.80,0.00,0.00,0.00,42.80,IBRD,0.00,63.00,63.00,24-Jun-1980
1980,0456,MYA,Outports,,0.00,15.50,0.00,0.00,15.50,OFID,0.00,6.32,6.32,10-Jun-1980
1980,0502,THA,Power System Expansion,,85.00,0.00,0.00,0.00,85.00,Switzerland,0.00,1.75,1.75,19-Dec-1980
1980,0504,BAN,Public Health Program,,0.00,15.60,0.00,0.00,15.60,WHO,0.15,0.00,0.15,22-Dec-1980
1980,0459,INO,Second Java EHV Transmission,,60.70,0.00,0.00,0.00,60.70,IBRD,0.00,90.50,90.50,26-Jun-1980
1980,0466,PHI,Second Laguna de Bay Irrigation,,0.00,20.00,0.00,0.00,20.00,OFID,0.00,7.50,7.50,25-Sep-1980
1980,0494,PAK,Second Marine Fisheries Development,,0.00,30.00,0.00,0.00,30.00,EC,0.00,12.00,12.00,11-Dec-1980
1980,0472,SRI,Third Tea Development,,0.00,12.80,0.00,0.00,12.80,OFID,0.00,5.00,5.00,07-Oct-1980
1980,0486,SIN,Vocational and Industrial Training,,19.00,0.00,0.00,0.00,19.00,UNDP,0.53,0.00,0.53,27-Nov-1980
1981,0522,INO,Bali Irrigation Sector,,33.60,0.00,0.00,0.00,33.60,EC,0.00,12.50,12.50,17-Sep-1981
1981,0521,MAL,Batang-Ai Hydropower,,40.40,0.00,0.00,0.00,40.40,JBIC (ODA),0.00,65.80,65.80,17-Sep-1981
1981,0541,BAN,Chittagong Urea Fertilizer,,0.00,144.00,0.00,0.00,144.00,ADFAED,0.00,25.00,244.21,01-Nov-1981
1981,0541,BAN,Chittagong Urea Fertilizer,,,,,,,Canada,0.00,20.00,,
1981,0541,BAN,Chittagong Urea Fertilizer,,,,,,,IDA,0.00,15.00,,
1981,0541,BAN,Chittagong Urea Fertilizer,,,,,,,IsDB,0.00,16.00,,
1981,0541,BAN,Chittagong Urea Fertilizer,,,,,,,JBIC (ODA),0.00,83.21,,
1981,0541,BAN,Chittagong Urea Fertilizer,,,,,,,Saudi Fund for Development,0.00,85.00,,
