,Year,Loan Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total.1,ADB Approval
178,2010,2632/0202/0203,PRC,Integrated Renewable Biomass Energy Development Sector,,,,,,,GTZ,4.6,0.0,,
180,2010,2619/0198/8245,INO,Java-Bali Electricity Distribution Performance Improvement,,50.0,0.0,0.0,0.0,50.0,AFD,0.0,50.0,51.0,22-Mar-2010
181,2010,2619/0198/8245,INO,Java-Bali Electricity Distribution Performance Improvement,,,,,,,CEF-CEFPF,1.0,0.0,,
182,2010,2656/0212/0239,NEP,Kathmandu Sustainable Urban Transport,,0.0,10.0,10.0,0.0,20.0,GEF,2.52,0.0,2.52,30-Nov-2010
183,2010,2686/0226/0425,PNG,Microfinance Expansion,,0.0,13.0,0.0,0.0,13.0,Australia,6.0,0.0,6.0,28-Oct-2010
197,2010,0234/8255,LAO,Second Northern Greater Mekong Subregion Transport Network Improvement,,0.0,0.0,20.0,0.0,20.0,OFID,0.0,12.0,12.0,25-Nov-2010
198,2010,0175/0176/0177/0207/0210,SOL,Second Road Improvement (Sector) (Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,0.28,0.0,0.64,20-May-2010
199,2010,0175/0176/0177/0207/0210,SOL,Second Road Improvement (Sector) (Supplementary),,,,,,,NZAID,0.36,0.0,,
200,2010,2650/8249,NEP,Secondary Towns Integrated Urban Environment Improvement,,0.0,60.0,0.0,0.0,60.0,OFID,0.0,17.0,17.0,06-Jul-2010
204,2010,2628/EI7311/0201,THA,Solar Power,,70.0,0.0,0.0,0.0,70.0,CEF-CEFPF,2.0,0.0,2.0,16-Apr-2010
208,2010,2629/2630/8244,UZB,Talimarjan Power,,340.0,10.0,0.0,0.0,350.0,JICA (ACFA),0.0,300.0,300.0,20-Apr-2010
213,2010,2672/2673/0220/8253,CAM,Water Resources Management Sector Development Program (Project Loan),,0.0,10.0,2.8,0.0,12.8,OFID,0.0,12.0,12.0,23-Sep-2010
219,2011,2695/0323,BAN,City Region Development,,0.0,120.0,0.0,0.0,120.0,KfW,14.86,0.0,14.86,31-Oct-2011
221,2011,2796/0267/8257,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),,0.0,18.0,7.0,0.0,25.0,OFID,0.0,20.0,27.06,31-Oct-2011
222,2011,2796/0267/8257,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),,,,,,,SDC,7.06,0.0,,
224,2011,2808/G0270/G0271,NEP,Electricity Transmission Expansion and Supply Improvement,,0.0,56.0,19.0,0.0,75.0,Norway,25.0,0.0,25.0,15-Nov-2011
225,2011,0280/0281/0282,AFG,Energy Sector Development Investment Program – Tranche 3,,0.0,0.0,43.0,0.0,43.0,Denmark,12.4,0.0,32.4,22-Dec-2011
226,2011,0280/0281/0282,AFG,Energy Sector Development Investment Program – Tranche 3,,,,,,,DFID,20.0,0.0,,
227,2011,9135/0277/0382/0406,NEP,Establishing Women and Children Service Centers (Supplementary),,0.0,0.0,0.0,0.0,0.0,DFID,0.2,0.0,0.2,18-May-2011
228,2011,2744/G0250,PRC,Forestry and Ecological Restoration in Three Northwest Provinces,,100.0,0.0,0.0,0.0,100.0,GEF,5.1,0.0,5.1,29-Mar-2011
234,2011,2820/3249/0273/0427,VAN,Interisland Shipping Support,,0.0,10.82,0.0,0.0,10.82,New Zealand,12.6,0.0,12.6,30-Nov-2011
237,2011,2217/2767/8252,SRI,National Highways Sector,,235.0,0.0,0.0,0.0,235.0,OFID,0.0,8.0,8.0,05-Aug-2011
239,2011,2025/2747,VIE,Phuoc Hoa Water Resources (Supplementary),,0.0,60.0,0.0,0.0,60.0,AFD,0.0,25.0,25.0,31-Mar-2011
240,2011,2832/G0275-76,VAN,Port Vila Urban Development,,0.0,5.0,0.0,0.0,5.0,AUS-PRIF,4.5,0.0,31.0,13-Dec-2011
241,2011,2832/G0275-76,VAN,Port Vila Urban Development,,,,,,,Australia,26.5,0.0,,
243,2011,2839/G0278/8254,CAM,Provincial Roads Improvement,,0.0,52.0,0.0,0.0,52.0,SCF-PPCR,7.0,10.0,17.0,16-Dec-2011
