,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
990,1898,2014,8655,REG,Facilitating Trade for Fragile and Landlocked States in the Post-Bali Institutional Environment,R-CDTA,J,PS,Industry and Trade,Bilateral,Single Donor,300.00,Australia,,16-Dec-2014,True
997,1905,2014,8662,PRC,Improving Clean Bus Operations and Management,CDTA,E,PS,Transport and ICT,Global Fund,Multidonor,"2,315.00",GEF,,09-Jun-2014,True
999,1907,2014,8666,INO,Sustainable Infrastructure Assistance Program — Capacity Development for the Metropolitan Sanitation Management Investment (Subproject 6),CDTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"2,000.00",Australia,,13-Jun-2014,True
1005,1913,2014,8681,REG,Awareness Raising to Adopt Action for Malaria Elimination in Asia Pacific,CDTA,E,C,Health,Multi-Donor Trust Fund,Multidonor,225.00,HFPF-RMTF,,02-Jul-2014,True
1010,1918,2014,8698,VIE,Second Secondary Education Sector Development Program,PPTA,E,C,Education,Bilateral,Single Donor,"1,000.00",JFPR,,13-Aug-2014,True
1018,1926,2014,8726,VIE,Implementation of Civil Service Reform Plan,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,"1,000.00",JFPR,,23-Sep-2014,True
1020,1928,2014,8729,REG,Pacific Business Investment Facility,R-CDTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,"11,000.00",PBI,,26-Sep-2014,True
1026,1934,2014,8746,REG,Central Asia Regional Economic Cooperation: Working with the Private Sector in Trade Facilitation (Phase 2),PATA,J,C,Industry and Trade,Special Fund,ADB,500.00,RCIF,,30-Oct-2014,True
1031,1939,2014,8758,MYA,Third Greater Mekong Subregion Corridor Towns Development,PPTA,J,C,Water and Other Urban Infrastructure and Services,Bilateral,Single Donor,350.00,NET-WFPF,,17-Nov-2014,True
1032,1940,2014,8758,MYA,Third Greater Mekong Subregion Corridor Towns Development,PPTA,J,C,Water and Other Urban Infrastructure and Services,Special Fund,ADB,500.00,RCIF,,17-Nov-2014,True
1033,1941,2014,8760,IND,Capacity Building for the Additional Skill Acquisition Program,CDTA,E,C,Education,Bilateral,Single Donor,"1,500.00",JFPR,,19-Nov-2014,True
1034,1942,2014,8763,REG,Results for Malaria Elimination and Control of Communicable Disease Threats in Asia and the Pacific,CDTA,E,C,Health,Multi-Donor Trust Fund,Multidonor,"18,000.00",HFPF-RMTF,,20-Nov-2014,True
1037,1945,2014,8785,REG,Mekong Business Initiative,R-PATA,J,PS,Public Sector Management,Bilateral,Single Donor,"10,000.00",Australia,,03-Dec-2014,True
1043,1951,2014,8808,AFG,Renewable Energy Development,CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,"1,000.00",CEF-CEFPF,,12-Dec-2014,True
1044,1952,2014,8812,REG,Enhanced Use of Disaster Risk Information for Decision Making in Southeast Asia,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,"1,000.00",IDRMF,,11-Dec-2014,True
1049,1957,2014,8841,MON,Darkhan Urban Utility Institutional Improvement Action Plan,CDTA,E,C,Water and Other Urban Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,400.00,UFPF-UEIF,,16-Dec-2014,True
1053,1961,2014,8868,REG,Strengthening Disaster Resilience in Selected Urban Areas of Southeast Asia,R-RDTA,J,C,Water and Other Urban Infrastructure and Services,Bilateral,Single Donor,25.00,IDRMF,,24-Dec-2014,True
1054,1962,2014,8868,REG,Strengthening Disaster Resilience in Selected Urban Areas of Southeast Asia,R-RDTA,J,PS,Water and Other Urban Infrastructure and Services,Bilateral,Single Donor,200.00,GIZ,,24-Dec-2014,True
1055,1963,2015,6445,REG,Support for Implementation of the Second Governance and Anticorruption Action Plan (2nd Supplementary),PATA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,272.00,GCF,,10-Jun-2015,True
1059,1967,2015,8007,IND,Advanced Project Preparedness for Poverty Reduction - West Bengal North South Road Corridor (Subproject 18) (2nd Supplementary),PPTA,J,PS,Transport and ICT,Bilateral,Single Donor,100.00,United Kingdom,,23-Sep-2015,True
1066,1974,2015,8254,REG,Enhancing Economic Analysis and South-South Learning,PATA,J,C,Public Sector Management,Special Fund,ADB,500.00,RCIF,,06-Jul-2015,True
1068,1976,2015,8362,PNG,Strategic Program for Climate Resilience Implementation (Supplementary),PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,200.00,SCF-PPCR,,09-Nov-2015,True
1072,1980,2015,8472,MYA,Mandalay City Urban Services Improvement (Supplementary),PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,300.00,FRA-AFD GMS Fund,,17-Aug-2015,True
1078,1986,2015,8550,REG,Inclusive Business Support (Supplementary),CDTA,J,PS,Multisector,Bilateral,Single Donor,160.00,GIZ,,17-Dec-2015,True
1079,1987,2015,8556,REG,Supporting the Cities Development Initiative for Asia (Supplementary),CDTA,J,PS,Multisector,Bilateral,Single Donor,300.00,AUT,,30-Oct-2015,True
1080,1988,2015,8570,REG,Support to Community-Based Disaster Risk Management in Southeast Asia (Supplementary),CDTA,J,C,Public Sector Management,Bilateral,Single Donor,750.00,IDRMF,,10-Nov-2015,True
1081,1989,2015,8636,REG,Mainstreaming Results-Based Public Sector Management—Supporting the Initiatives of the Asia-Pacific Community of Practice on Managing for Development Results (Supplementary),R-CDTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,50.63,MFDR,,30-Jun-2015,True
1083,1991,2015,8749,IND,Advanced Project Preparedness for Poverty Reduction—Capacity Development of Institutions in the Urban Sector in Rajasthan (Subproject 32) (Supplementary),CDTA,J,PS,Water and Other Urban Infrastructure and Services,Bilateral,Single Donor,225.00,UKG,,09-Apr-2015,True
1084,1992,2015,8819,REG,Sector and Thematic Analyses in Policy Development (Supplementary),CDTA,J,PS,Public Sector Management,Bilateral,Single Donor,90.00,Australia,,02-Dec-2015,True
1089,1997,2015,8877,INO,Tax Revenue Administration Modernization and Policy Improvement in Local Governments,CDTA,E,PS,Public Sector Management,Bilateral,Multidonor,"5,000.00",SECO,,12-Feb-2015,True
1092,2000,2015,8897,REG,Climate-Friendly Agribusiness Value Chains Sector,PPTA,J,C,"Agriculture, Natural Resources and Rural Development",Bilateral,Single Donor,"1,000.00",CEFPF-CCFPSA,,12-May-2015,True
1093,2001,2015,8897,REG,Climate-Friendly Agribusiness Value Chains Sector,PPTA,J,C,"Agriculture, Natural Resources and Rural Development",Bilateral,Single Donor,"1,500.00",ACEF,,12-May-2015,True
1095,2003,2015,8899,IND,Strengthening Capacity of the National Urban Health Mission,CDTA,E,C,Health,Bilateral,Single Donor,"2,000.00",JFPR,,28-May-2015,True
1101,2009,2015,8921,MYA,Renewable Energy for the Nationwide Telecommunications,CDTA,E,C,Energy,Bilateral,Single Donor,"1,000.00",CEFPF-CCFPSA,,30-Jun-2015,True
1104,2012,2015,8925,REG,Capacity Development for Expansion of the Trade Finance Program into the Pacific and Enhanced Safeguards and Integrity Measures for Trade Finance Program Banks,CDTA,E,PS,Industry and Trade,Bilateral,Single Donor,"2,735.00",AUS,,03-Jul-2015,True
1109,2017,2015,8940,PRC,Municipality-Level Public–Private Partnership Operational Framework for Chongqing,PATA,E,PS,Public Sector Management,Multilateral,Multidonor,350.00,PPIAF,,11-Aug-2015,True
1121,2029,2015,8969,AFG,Preparing the Kabul Managed Aquifer Recharge,PPTA,E,C,"Agriculture, Natural Resources and Rural Development",Multi-Donor Trust Fund,Multidonor,"7,600.00",AITF,,01-Oct-2015,True
1127,2035,2015,8989,REG,Greater Mekong Subregion: Capacity Development for Economic Zones in Border Areas,CDTA,J,C,Water and Other Urban Infrastructure and Services,Bilateral,Single Donor,400.00,PRC-PR Fund,,12-Nov-2015,True
1128,2036,2015,8990,PAK,Enabling Economic Corridors through Sustainable Transport Sector Development,CDTA,E,PS,Transport,Bilateral,Single Donor,"15,406.27",DFID,,17-Nov-2015,True
1131,2039,2015,9001,MON,Strategy for Northeast Asia Power System Inteconnection,PATA,J,C,Energy,Bilateral,Single Donor,500.00,EAKPF,,27-Nov-2015,True
1134,2042,2015,9002,VIE,Sustainable and Resilient Urban Development,CDTA,J,PS,Water and Other Urban Infrastructure and Services,Multilateral,Multidonor,545.00,NDF,,27-Nov-2015,True
1135,2043,2015,9003,REG,Integrated Resource Planning with Strategic Environmental Assessment for Sustainable Power Sector Development in the Greater Mekong Subregion,CDTA,E,PS,Energy,Bilateral,Single Donor,"1,100.00",AFD,,27-Nov-2015,True
1140,2048,2015,9030,MON,Ulaanbaatar Affordable Housing and Urban Renewal,PPTA,E,C,Water and Other Urban Infrastructure and Services,Bilateral,Single Donor,"1,000.00",JFPR,,10-Dec-2015,True
1142,2050,2015,9048,REG,Promoting Smart Drinking Water Management in South Asian Cities,CDTA,J,C,Water and Other Urban Infrastructure and Services,Bilateral,Single Donor,500.00,EAKPF,,15-Dec-2015,True
