,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
567,1475,2011,7971,MON,Government Bond Market Development,PATA,J,C,Finance,Bilateral,Single Donor,500.00,EAKPF,,14-Dec-2011,True
568,1476,2011,7971,MON,Government Bond Market Development,PATA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,500.00,FSDPF,,14-Dec-2011,True
572,1480,2011,7987,REG,"Core Environment Program and Biodiversity Conservation Corridors Initiative in the Greater Mekong Subregion, Phase 2",R-CDTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"14,000.00",FIN,,12-Dec-2011,True
574,1482,2011,7990,REG,Quantum Leap in Wind Power Development in Asia and the Pacific,CDTA,E,C,Energy,Bilateral,Single Donor,"2,000.00",ACEF,,09-Dec-2011,True
575,1483,2011,7992,NEP,Skills Development,PPTA,E,C,Education,Bilateral,Single Donor,500.00,JFPR,,09-Dec-2011,True
577,1485,2011,7994,AFG,Supporting Natural Resources Operations,CDTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,500.00",NET-WFPF,,14-Dec-2011,True
579,1487,2011,8001,PRC,Study on Carbon Capture and Storage in Natural Gas-Based Power Plants,CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,"1,800.00",CCSF,,12-Dec-2011,True
580,1488,2011,8007,IND,Advanced Project Preparedness for Poverty Reduction - West Bengal North South Road Corridor (Subproject 18),PPTA,E,PS,Transport and ICT,Bilateral,Single Donor,"1,100.00",UKG,,09-Dec-2011,True
581,1489,2011,8012,REG,Enabling Climate Change Responses in Asia and the Pacific - Disaster Risk Finance for Total Climate Risk (Subproject 6),R-PATA,E,C,Finance,Bilateral,Single Donor,"1,000.00",JFPR,,09-Dec-2011,True
582,1490,2011,8015,REG,Developing Water Resources Sector Strategies in Central and West Asia,R-PATA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,500.00,MDTF-WFPF,,22-Dec-2011,True
583,1491,2011,8017,REG,Support for Pan-Beibu Gulf Economic Cooperation,R-PATA,E,C,Multisector,Bilateral,Single Donor,500.00,PRC-PR Fund,,13-Dec-2011,True
