,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
1911,JBIC (non-ODA),Japan,2004,2004.0,,2146,30403,,,PRC,Coal Mine Methane Development,EARD,EAEN,12/20/2004,,,,,0.0,,20.0,,20.0,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/20/2004,10/04/2005,,01/28/2011,,Sovereign,Highly Successful,,,COLA 24May2005. Off/coord.  Each cofinancier shall apply its own procurement & disb guidelines.,"DR 2009, Case Study: From Deadly Gas to Clean Fuel pp 6-7",2146
1923,JBIC (ODA),Japan,2006,2006.0,2261 (CL),2261,37041,,,CAM,Second Power Transmission and Distribution,SERD,SEID,10/04/2006,,,,,0.0,,22.3,,22.3,DVA,,Collaborative,Bilateral,Loan,ADF,3200.0,Energy,,,,,,,,10/04/2006,01/29/2008,,,,Sovereign,,,,JBIC will provide parallel cf for the transmission & distribution line packages and part of the capacity building activities.,,2261
1926,JBIC (non-ODA),Japan,2006,2006.0,,2282,37752,,,PHI,Power Sector Development Program ,SERD,,12/08/2006,,,,,0.0,,300.0,,300.0,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/08/2006,12/19/2006,,,,Sovereign,Successful,,,PCR Aug2010.,,2282
1935,JICA,Japan,2009,2009.0,,2450,40538,,,PHI,Development Policy Support Program (Subprogram 2),SERD,,05/08/2009,,,,,0.0,,100.0,,100.0,DVA,PS,Collaborative,Bilateral,Loan,OCR,3600.0,Public Sector Management,,,,,,,,05/08/2009,11/18/2008,,,,Sovereign,Succesful,,,"Anchor loan approved 30 Sep 2008. Ref RRP for subprogram 3. Procedural Arrangement between JICA and ADB signed 8May09 (Yen 9,293,000,000). PCR Dec2010.","DR 2009. para on JPN cof, pp 36.",2450
1938,JICA,Japan,2008,2008.0,,2451,40198,,,VIE,Ho Chi Minh City-Loan Thanh-Dau Giay Expressway Construction,SERD,,09/30/2008,,,,,0.0,,517.6,,517.6,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,09/30/2008,06/26/2009,,,,Sovereign,,,,"JBIC (ODA) parallel cfg. JBIC will finance civil works for the HCMC-Long Thanh section, an electronic toll collection & traffic info & monitoring system and consulting services (ref RRP). PA signed 19Sep08. (now JICA)",,2451
1957,JICA,Japan,2009,2009.0,,2523,43096,,,MON,Social Sectors Support Program,EARD,EASS,06/24/2009,,,,,0.0,,30.0,,30.0,DVA,PS,Collaborative,Bilateral,Loan,ADF,3400.0,Health and Social Protection,,,,,,,,06/24/2009,07/15/2009,,,,Sovereign,Successful,,,GOJ thru JICA will provide $30m in 2009 and $20m in 2010 (ref final RRP) PA under preparation.,"DR 2009. para on JPN cof, pp 36.",2523
1960,JICA,Japan,2010,2010.0,,2545,40538,,,PHI,Development Policy Support Program (Subprogram 3),SERD,,04/14/2010,,,,,0.0,,100.0,,100.0,DVA,PS,Collaborative,Bilateral,Loan,OCR,3600.0,Public Sector Management,,,,,,,,04/14/2010,10/06/2009,,12/31/2009,,Sovereign,Succesful,,,PA was signed 14Apr2010.  PCR Dec2010. Anchor ADB project approved 15 Sep 2009,DR 2010. para on governance pp 41.,2545
1963,JICA,Japan,2010,2010.0,2560 (CL),2560,41122,M0034,,GEO,"Road Corridor Investment Program, Tranche 1",CWRD,CWTC,01/14/2010,,,,,0.0,,170.0,,170.0,DVA,Others,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,01/14/2010,,,,,01/14/2010,12/01/2009,,,Approved,Sovereign,,,,Anchor ADB project approved 6 Oct 2009; MFF-0034. Procedural Agreement signed 14Jan2010. JICA cf for tranche 1 (ref MA's 21Jul10 email).,"DR 2010. para on RCI and on new proj, pp 28.",2560
1972,JICA,Japan,2010,2010.0,2701 (CL),2701-2702,35049,,,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,,,,,0.0,,300.0,,300.0,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/25/2010,,,,,Sovereign,,,,"ML agreed to sign MOU among ADB, WB, JICA (ref MA's 18Apr10 update","DR 2010. para on new proj of the year, pp 13. DR 2011. para on FCA, pp 11.",2701-2702
1978,JICA,Japan,2013,2013.0,,2730,41414-043,,,VIE,Greater Mekong Subregion Ben Luc-Long Thanh Expressway - Tranche 1,SERD,SETC,08/19/2013,,,,,0.0,,181.45,,181.45,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,01/25/2012,,,Yes,,08/19/2013,,,,,Sovereign,,,,PA signed 25 January 2012; SG and MJS met with Project Lead Yasushi Tanaka last 23 Aug 2013; ML advised to record PA on 19 Aug 2013 when their DG approved continuation of the MFF.  It was agreed that it will not be good to record this cofinancing for 2012 as 2012 figures have been published already.,,2730
