,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
790,EIB,EIB,2013,2013.0,2993 (CL),2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,,,,,0.0,,79.2,,79.2,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,,,,,No,,09/27/2013,,,,,Sovereign,,,,,,2993
793,EIB,EIB,2015,2015.0,,3020/3021/0404,46260,,,TIM,Road Network Upgrading SectorﾗAdditional Cofinancing,PARD,PATE,11/20/2015,,,,,0.0,,50.0,,50.0,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,,3020
796,EIB,EIB,2013,2013.0,3051 (CL),3051/8292,42173-013,,,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,,,,,0.0,,136.0,,136.0,DVA,PS,Collaborative,Multilateral,Loan,,3800.0,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/22/2013,,,,,Sovereign,,,,Revised cofin amount from $100m to $136m (ref. N Saito memo on minor change in project);  Joint collaborative cofinancing,,3051
799,EIB,EIB,2013,2013.0,,3098/3099/0380,45007-004,78,,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,EARD,EASS,12/12/2013,,,,,0.0,,28.38,,28.38,DVA,FW,Collaborative,Multilateral,Loan,,3800.0,Water and Other Municipal Infrastructure and Services,,"Water Supply and Sanitation, Slum Upgrading and Housing, Other Municipal Services, Urban Sector Development",,,,No,,12/12/2013,,,,,Sovereign,,,,,,3098
802,EIB,EIB,2014,2014.0,3139 (CL),3139/0397/0398,44219-014,,,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,SARD,SAEN,07/04/2014,,,,,0.0,,120.0,,120.0,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,"Renewable Energy, Electricity Transmission and Distribution",04/22/2014,,,No,,07/04/2014,,,,,Sovereign,,,,,,3139
805,EIB,EIB,2014,2014.0,3169 (CL),3169/3170,46168-001,,,BAN,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,SARD,SATC,09/30/2014,,,,,0.0,,175.0,,175.0,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,Rail Transport (Non-Urban),,,,No,,09/30/2014,,,,,Sovereign,,,,Joint collaborative cofinancing,,3169
808,EIB,EIB,2014,2014.0,,3186,46268-002,,,IND,Clean Energy Finance Investment Program ﾖ Tranche 1 ,SARD,SAPF,12/10/2014,,,,,0.0,,253.0,,253.0,DVA,PS,Collaborative,Multilateral,Loan,,3300.0,Finance,,Infrastructure Finance and Investment Funds,,,,No,,12/10/2014,,,,,Sovereign,,,,,,3186
811,EIB,EIB,2015,2015.0,471,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0.0,,20.0,,20.0,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,Urban Public Transport,,,,No,,03/10/2015,,,,,Sovereign,,,,,,3250
814,EIB,EIB,2015,2015.0,3348/3349,3348/3349,45148-008,,,SRI,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3,SARD,SAUW,12/08/2015,,,,,0.0,,50.0,,50.0,DVA,PS,Collaborative,Multilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,,,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,,3348
817,EIB,EIB,2015,2015.0,3363/3364,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.0,,77.0,,77.0,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
820,Export-Import Bank of India,"India,Export-Import Bank of India",2015,2015.0,3225/3226,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0.0,,17.16,,17.16,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,,,,,,3225
848,Finland,Finland,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,13.2,,,13.2,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,DR 2011. para on grant cof and new proj pp 15.,G0272
911,AFD,France,2003,2003.0,,2014,32336,,,PRC,Western Yunnan Roads Development (Baoshan-Longling),EARD,EATC,10/28/2003,,,,,0.0,,38.0,,38.0,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,10/28/2003,10/28/2004,,06/22/2009,,Sovereign,Succesful,,,Adj: $35(RRP) (Amt was changed to $38(Euro 35m) AFD approval ref P. Benedic e-mail- 19Dec03). Cofinancing Agreement-10Dec04. No fee,,2014
917,AFD,France,2011,2011.0,,2025/2747,29296-013,,,VIE,Phuoc Hoa Water Resources (Supplementary),SERD,SEAE,03/31/2011,,,,,0.0,,25.0,,25.0,DVA,,Collaborative,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,Yes,,03/31/2011,09/30/2011,,,,Sovereign,,,,SUPPLEMENTARY TO LOAN 2025,,2025
920,AFD,France,2003,2003.0,,2034,34355,,,VIE,Central Region Urban Environmental Improvement,SERD,SESS,12/08/2003,,,,,0.0,,33.0,,33.0,DVA,,Collaborative,Bilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/08/2003,06/23/2004,,04/25/2012,,Sovereign,,,,Adj: $31.8 in RRP (Amount was changed to $33.0 (Euro 30m)  AFD approval ref e-mail from P. Benedic 19Dec03). Cofinancing Agreement signed 24-Jan-05. No fee,,2034
929,AFD,France,2004,2004.0,,2116,36432,,,PRC,Dali-Lijiang Railway,EARD,EATC,12/02/2004,,,,,0.0,,40.0,,40.0,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/02/2004,11/14/2005,,07/09/2012,,Sovereign,Successful,,,33.5 milion Euro. Cofinancing Agreement signed on 18Jul05.  No fee,,2116
935,AFD,France,2004,2004.0,,2128,32273,,,VIE,Northern Power Transmission Sector,SERD,SEID,12/13/2004,,,,,0.0,,50.0,,50.0,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/13/2004,12/16/2005,,05/10/2012,,Sovereign,Successful,,,,,2128
960,AFD,France,2009,2009.0,,2584,39516,,,PHI,Local Government Financing and Budget Reform Program (Subprogram 2),SERD,,11/26/2009,,,,,0.0,,216.0,,216.0,DVA,PS,Collaborative,Bilateral,Loan,OCR,3600.0,Public Sector Management,,,,,,,,11/26/2009,12/28/2009,,03/31/2010,,Sovereign,Highly successful,,,AFD will cofinance Subprogram 2 in the amount of euro 150m ($216m). MOU signed 9Oct09.,,2584
966,AFD,France,2010,2010.0,,2636,42080,,,VIE,Strengthening Water Management and Irrigation Systems Rehabilitation,SERD,,04/20/2010,,,,,0.0,,28.0,,28.0,DVA,Others,Collaborative,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,04/20/2010,01/19/2011,,,,Sovereign,,,,MOU on collaborative cofinancing was signed 12Mar2010.,,2636
969,AFD,France,2010,2010.0,,2710-2711,37378,,,SRI,Jaffna and Kilinochchi Water Supply and Sanitation,SARD,,11/29/2010,,,,,0.0,,40.0,,40.0,DVA,FW,Collaborative,Bilateral,Loan,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,11/29/2010,05/06/2011,,,,Sovereign,,,,Collaborative cofinancing,,2710-2711
972,AFD,France,2011,2011.0,,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.0,,30.0,,30.0,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,Urban Transport,,,,,,03/29/2011,,,,,Sovereign,,,,Euro 110.0 million ﾀ 23.1 for joint cofinancing ($30m) ﾀ 86.9 for parallel cofinancing ($113.0m); changed to collab 29 July 2013 per email of Kat Barrameda,"DR 2011. para on FCA and new proj, pp 8,10.",2741
973,AFD,France,2011,2011.0,,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.0,,113.0,,113.0,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,Urban Transport,,,,,,03/29/2011,03/13/2012,,,,Sovereign,,,,,,2741
974,DGT,France,2011,2011.0,,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.0,,325.0,,325.0,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,Urban Transport,,,,,,03/29/2011,03/13/2012,,,,Sovereign,,,,,,2741
983,AFD,France,2012,2012.0,,2959,42039-035,66,,VIE,Power Transmission Investment Program - Tranche 2,SERD,SEEN,12/05/2012,,,,,0.0,,100.0,,100.0,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,11/29/2012,,,No,,12/05/2012,,,,,Sovereign,,,,,,2959
995,AFD,France,2013,2013.0,3068 (CL),3068,46093-004,,,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,,,,,0.0,,100.0,,100.0,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Transport Management and Policies,,,,No,,11/27/2013,,,,,Sovereign,,,,,,3068
998,AFD,France,2013,2013.0,3087 (CL),3087,42378-016,73,,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,,,,,0.0,,125.0,,125.0,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,,,,No,,12/09/2013,,,,,Sovereign,,,,,,3087
1001,AFD,France,2014,2014.0,3111 (CL),3111,44253-013,,,PHI,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1,SERD,SEPF,02/13/2014,,,,,0.0,,150.0,,150.0,DVA,FW,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,"Public Expenditure and Fiscal Management, Decentralization",,,,No,,02/13/2014,,,,,Sovereign,,,,,,3111
1008,AFD,France,2015,2015.0,,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0.0,,150.0,,150.0,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,,,,,No,,09/30/2015,,,,Approved,Sovereign,,,,,,3303
1010,AFD,"France,AFD",2015,2015.0,,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.0,,46.0,,46.0,DVA,FW,Collaborative,Bilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,,3316
1012,AFD,"France,AFD",2015,2015.0,3363/3364,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.0,,75.9,,75.9,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
1013,DGT,"France,DGT",2015,2015.0,3363/3364,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.0,,93.5,,93.5,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
1020,FTI,FTI,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,70.0,,,70.0,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,Fast Track Inititative administered by WB,DR 2011. para on grant cof and new proj pp 15.,G0272
1265,KfW,Germany,2004,2004.0,,2095,34344,,,VIE,Small and Medium-Sized Enterprise Development Program (Subprogram I),SERD,SEGF,10/21/2004,,,,,0.0,,17.0,,17.0,DVA,,Collaborative,Bilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,10/21/2004,04/06/2005,,12/11/2006,,Sovereign,Succesful,,,Procedural Arrangement between ADB & KfW was signed on 31May05 (Euro 14million). Dec09 adj. from non DVA to DVA,,2095
1275,KfW,Germany,2006,2006.0,2281 (CL),2281,36343,,,IND,Rural Cooperative Credit Restructuring and Development Program,SARD,SAGF,11/23/2006,,,,,0.0,,151.8,,151.8,DVA,,Collaborative,Bilateral,Loan,OCR,3300.0,Finance,,,,,,,,11/23/2006,02/21/2007,,,,Sovereign,Less than Successful,,,"KfW has earmarked at least ﾀ140m for supporting CCS reform. Of this, ﾀ10m will be reserved for TA. KfW's cf will be provided in a parallel financing arrangement. Procedural arrangement was signed 13Mar08.  $186.02 based on Partnership Brief for Germany, not $151.80 million",,2281
1278,KfW,Germany,2006,2006.0,,2284,38335,,,VIE,Small and Medium Enterprise Development Program - Subprogram II,SERD,SEGF,12/12/2006,,,,,0.0,,7.57,,7.57,DVA,PS,Collaborative,Bilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,12/12/2006,06/05/2007,,03/31/2009,,Sovereign,Succesful,,,KfW is providing ﾀ 6 m ($7.57m) for Subprogram II.   PCR 21Dec09.,,2284
1300,KfW,Germany,2011,2011.0,2695 (CG),2695/0323,39298-013,,,BAN,City Region Development,SARD,SAUW,10/31/2011,,,,,0.0,14.86,,,14.86,DVA,,Collaborative,Bilateral,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,10/31/2011,09/23/2011,,,,Sovereign,,,,"Project approved in 10Nov2010, Cofinancing in 2011",,2695
1303,KfW,Germany,2010,2010.0,2696 (CG),2696,40515,,,BAN,Sustainable Rural Infrastructure Improvement,SARD,SANS,11/11/2010,,,,,0.0,15.9,,,15.9,DVA,Others,Collaborative,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,11/11/2010,05/10/2011,,,,Sovereign,,,,KfW ero 13m grant cf parallel basis.  Collaborative grant cf.,,2696
1306,KfW,Germany,2010,2010.0,,2731,39500,,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 1,SERD,,12/22/2010,,,,,0.0,,36.4,,36.4,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/22/2010,12/20/2011,,,,Sovereign,,,,"KfW parallel cofinancing, not administered by ADB",,2731
1309,KfW,Germany,2012,2012.0,2913 (CG),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.0,8.8,,,8.8,DVA,PS,Collaborative,Bilateral,Grant,,3700.0,Transport and ICT,,,,,,,,09/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21.",2913
1312,KfW,Germany,2012,2012.0,2914 (CL),2914,41627-053,MFF0023,,IND,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,SARD,SAEN,10/02/2012,,,,,0.0,,200.0,,200.0,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,10/02/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21.",2914
1315,KfW,Germany,2012,2012.0,,2956,39500-033,52,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,,,,,0.0,,276.6,,276.6,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Urban Transport,,,,Yes,,11/27/2012,,,,,Sovereign,,,,,"DR 2012. para in SERD section on New Initiatives, pp 25.",2956
1319,KfW,"Germany,KfW",2015,2015.0,,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,SERD,SEEN,10/28/2015,,,,,0.0,,57.0,,57.0,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,,,,Yes,,10/28/2015,,,,,Sovereign,,,,,,3083
1325,KfW,Germany,2014,2014.0,3164 (CL),3164,48134-001,,,INO,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1,SERD,SEPF,09/25/2014,,,,,0.0,,200.0,,200.0,DVA,FW,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,Public Expenditure and Fiscal Management,,,,No,,09/25/2014,,,,,Sovereign,,,,,,3164
1327,KfW,Germany,2015,2015.0,,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0.0,,200.0,,200.0,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,,,,,No,,09/30/2015,,,,Approved,Sovereign,,,,,,3303
1329,KfW,"Germany,KfW",2015,2015.0,3356,3356,49232-001,,,PRC,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,EARD,EASS,12/10/2015,,,,,0.0,,166.65,,166.65,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3356
1331,KfW,"Germany,KfW",2015,2015.0,,3365,44426-016,,,IND,Green Energy Corridor and Grid Strengthening,SARD,SAEN,12/09/2015,,,,,0.0,,625.0,,625.0,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,,No,,12/09/2015,,,,Approved,Sovereign,,,,,,3365
1333,KfW,"Germany,KfW",2015,2015.0,3374,3374,42039-036,,,VIE,Power Transmission Investment Program-Tranche 3,SERD,SEEN,12/18/2015,,,,,0.0,,71.0,,71.0,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,,,,,No,,12/18/2015,,,,Approved,Sovereign,,,,,,3374
1337,GPE,GPE,2015,2015.0,,3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.0,100.0,,,100.0,DVA,PS,Collaborative,Multilateral,Grant,,3100.0,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,,,3256
1361,IFAD,IFAD,1982,1982.0,,0324/0612,15048,,,SRI,Kirindi Oya Irrigation and Settlement (Supp.),SARD,,12/09/1982,,,,,0.0,,6.0,,6.0,DVA,,Collaborative,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/09/1982,04/21/1983,,10/03/1989,,Sovereign,PS,,,,,0324
1382,IFAD,IFAD,1981,1981.0,,526,,,,SRI,Coconut Development,SARD,SAAE,09/24/1981,,,,,0.0,,8.0,,8.0,DVA,,Collaborative,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,09/24/1981,07/16/1982,,09/12/1989,,Sovereign,,,,,,526
1385,IFAD,IFAD,1981,1981.0,,548,,,,PHI,Smallholder Livestock Development,SERD,,11/25/1981,,,,,0.0,,8.0,,8.0,DVA,,Collaborative,Multilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,11/25/1981,08/19/1982,,12/04/1987,,Sovereign,,,,,,548
1388,IFAD,IFAD,1981,1981.0,,560,14049,,,NEP,Command Area Development,SARD,SAAE,12/15/1981,,,,,0.0,,11.1,,11.1,DVA,PS,Collaborative,Multilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,12/15/1981,08/05/1982,,05/11/1990,,Sovereign,,,,,,560
1409,IFAD,IFAD,1986,1986.0,,792,18095,,,NEP,Second Aquaculture Development,SARD,AWAR,10/09/1986,,,,,0.0,,5.0,,5.0,DVA,,Collaborative,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/09/1986,09/18/1987,,11/25/1994,,Sovereign,PS,,,,,792
1412,IFAD,IFAD,1986,1986.0,,802,16115,,,PHI,Highland Agriculture Development,SERD,,11/25/1986,,,,,0.0,,4.6,,4.6,DVA,,Collaborative,Multilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,11/25/1986,06/22/1987,,05/11/1994,,Sovereign,,,,From multisector to Agriculture,,802
1454,IFAD,IFAD,2012,2012.0,2913 (CG),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.0,1.0,,,1.0,DVA,PS,Collaborative,Multilateral,Grant,,3700.0,Transport and ICT,,,,,,No,,09/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21.",2913
1455,IFAD,IFAD,2012,2012.0,2913 (CL),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.0,,59.0,,59.0,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,,,,,No,,09/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21.",2913
1461,IFAD,IFAD,2014,2014.0,,3198,47300-002,,,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,,,,,0.0,,5.0,,5.0,DVA,PS,Collaborative,Multilateral,Loan,,3000.0,"Agriculture, Natural Resources and Rural Development",,"Rural Market Infrastructure, Livestock, Agricultural Policy, Institutional and Capacity Development",,,,No,,11/24/2014,,,,Closed/Completed,Sovereign,,,,,,3198
1462,IFAD,IFAD,2014,2014.0,,3198,47300-002,,,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,,,,,0.0,5.0,,,5.0,DVA,PS,Collaborative,Multilateral,Grant,,3000.0,"Agriculture, Natural Resources and Rural Development",,"Rural Market Infrastructure, Livestock, Agricultural Policy, Institutional and Capacity Development",,,,No,,11/24/2014,,,,,Sovereign,,,,,,3198
1476,Export-Import Bank of India,"India,Export-Import Bank of India",2015,2015.0,3225/3226,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0.0,,17.16,,17.16,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,,,,,,3225
1477,State Bank of India,"India,State Bank of India",2015,2015.0,3225/3226,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0.0,,41.66,,41.66,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,,,,,,3225
1507,IsDB,IsDB,2014,2014.0,,0409/0410/0429,46122-003,,,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0.0,,10.0,,10.0,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,"Conventional Energy Generation, Renewable Energy ﾖ Solar, Energy Efficiency and Conservation",,,,No,,09/29/2014,,,,,Sovereign,,,,,,0409
1561,IsDB,IsDB,2009,2009.0,,2562,41121,M0024,,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,,,,,0.0,,170.0,,170.0,DVA,FW,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,10/07/2009,04/13/2010,,,,Sovereign,,,,MFF 0024. PFR 2 (Jul09).,"DR 2011. para on FCA, pp 11.",2562
1564,IsDB,IsDB,2010,2010.0,2701 (CL),2701-2702,35049,,,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,,,,,0.0,,140.0,,140.0,DVA,FW,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/25/2010,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 13. DR 2011. para on FCA, pp 11.",2701-2702
1567,IsDB,IsDB,2011,2011.0,2769 (CL),2769,37113-013,,,BAN,Power System Efficiency Improvement,SARD,SAEN,08/11/2011,,,,,0.0,,200.0,,200.0,DVA,,Collaborative,Multilateral,Loan,OCR,3200.0,Energy,,,,,,No,,08/11/2011,,,,Approved,Sovereign,,,,collaborative,"DR 2011. para on FCA, pp 10.",2769
1570,IsDB,IsDB,2011,2011.0,2817 (CL),2817,38479-034,,,INO,Regional Roads Development,SERD,SETC,11/24/2011,,,,,0.0,,65.0,,65.0,DVA,,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,,,,,No,,11/24/2011,07/03/2012,,,,Sovereign,,,,,"DR 2011. para on FCA, pp 11.",2817
1573,IsDB,IsDB,2012,2012.0,,2867/0290,43566-013,,,MLD,"Inclusive Micro, Small, and Medium-sized Enterprise Development",SARD,SAPF,05/25/2012,,,,,0.0,,10.3,,10.3,DVA,,Collaborative,Multilateral,Loan,,3500.0,Industry and Trade,,Small and Medium Enterprise Development,,,,No,,05/25/2012,,,,,Sovereign,,,,"istisna'a loan terms, a Shari'ah (Islamic law) mode of financing widely used by Islamic banks, and its terms can be up to 20 years, including a grace period of up to 5 years",,2867
1576,IsDB,IsDB,2012,2012.0,2966 (CL),2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0.0,,85.0,,85.0,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,Energy Efficiency and Conservation,,,,No,,11/28/2012,,,,,Sovereign,,,,Joint collaborative,"DR 2012. para in SARD section on New Joint Initiatives, pp 20.",2966
1579,IsDB,IsDB,2013,2013.0,3087 (CL),3087,42378-016,73,,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,,,,,0.0,,220.0,,220.0,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,,,,No,,12/09/2013,,,,,Sovereign,,,,,,3087
1582,IsDB,IsDB,2013,2013.0,,3090/3091/3092,47094-001,,,PAK,Jamshoro Power Generation,CWRD,CWEN,12/09/2013,,,,,0.0,,150.0,,150.0,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,Conventional Energy,,,,No,,12/09/2013,,,,,Sovereign,,,,Joint collaborative cofinancing,,3090
1585,IsDB,IsDB,2014,2014.0,,3090/3091/3092,47094-001,,,PAK,Jamshoro Power Generation (Supplementary),CWRD,CWEN,02/27/2014,,,,,0.0,,70.0,,70.0,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,Conventional Energy,,,,Yes,,02/27/2014,,,,,Sovereign,,,,Joint collaborative cofinancing,,3090
