,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
174,Australia,2013,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable Energy
175,Australia,2013,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable Energy
176,Australia,2013,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion
177,Australia,2013,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion
178,Australia,2013,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion
179,Australia,2013,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion
180,Australia,2013,3013/0353,3013,40255-033,Central Mekong Delta Region Connectivity 
181,Australia,2013,3013/0353,0353,40255-033,Central Mekong Delta Region Connectivity 
184,Australia,2015,0414/0424/0443,0414,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
185,Australia,2015,0414/0424/0443,0424,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
186,Australia,2015,0414/0424/0443,0443,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
187,Australia,2015,0438/0439,0438,46346-002,Ebeye Water Supply and Sanitation
188,Australia,2015,0438/0439,0439,46346-002,Ebeye Water Supply and Sanitation
189,Australia,2015,0442,0442,47318-001,Strengthened Fiscal Sustainability Program
190,"Australia,Australia",2012,0049/50,0049,39581-012,Road Improvement (Sector) (3rd Supplementary)
191,"Australia,Australia",2012,0049/50,0050,39581-012,Road Improvement (Sector) (3rd Supplementary)
192,"Australia,Australia",2012,2936-2937/G0316-0317,2936-2937,40190-023,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
193,"Australia,Australia",2012,2936-2937/G0316-0317,G0316-0317,40190-023,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
194,"Australia,Australia",2014,2852/3125/0285,2852,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
195,"Australia,Australia",2014,2852/3125/0285,3125,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
196,"Australia,Australia",2014,2852/3125/0285,0285,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
197,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
198,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
199,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
200,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
201,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
202,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
203,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
204,"Australia,Australia",2015,0336,0336,45303-001,Rural EnergyﾗAdditional Financing
205,"Australia,Australia",2015,0458,0458,47320-001,Samoa Submarine Cable
