Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
Australia,1980,,485,,SAM,Agricultural Development,PARD,,11/27/1980,2,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Australia,1983,,646,,SOL,Agricultural Development,PARD,,10/29/1983,2,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Australia,1986,,786,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,0.16,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
Australia,1990,,1031,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,2.7,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Australia,1992,,1183,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,3.87,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Australia,1993,,1225,,PNG,Population and Family Planning,PARD,,04/01/1993,10,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
Australia,1994,,1331,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,10.55,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
Australia,1995,,1367,,PHI,Regional Municipal Development,SERD,,08/30/1995,11.77,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Australia,1995,,1396,,PHI,Integrated Community Health,SERD,,10/17/1995,13.7,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
Australia,1996,,1448,,VAN,Urban Infrastructure,PARD,PARD,06/27/1996,0.32,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Australia,1998,,1621,,LAO,Basic Education (Girls),SERD,SESS,06/25/1998,5,Non-DVA,,,Bilateral,Grant,Education,Sovereign
Australia,1999,3398,1697/3398(L),28338,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,0.86,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,1999,,1703,,PNG,Financial Management,PARD,,10/21/1999,12,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
Australia,2000,3520(L),1768/3520(L),32472,PNG,Microfinance and Employment,PARD,,10/19/2000,0.91,DVA,,Full Administration,Bilateral,Grant,Finance,Sovereign
Australia,2000,,1812,,PNG,Provincial Towns Water Supply and Sanitation,PARD,,12/15/2000,1.8,Non-DVA,,,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Australia,2001,3632(L),1706/3632(L),29637,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,5.49,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
Australia,2003,,2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,12,Non-DVA,,,Bilateral,Grant,Education,Sovereign
Australia,2005,31,2220/0031/0032,34285,SAM,Education Sector II,PARD,PAHQ,12/16/2005,8.6,DVA,PS,Partial Administration,Bilateral,Grant,Education,Sovereign
Australia,2006,42,42,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,3.5,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
Australia,2006,43,1823/G0043/G0044,34513,SOL,Post-Conflict Emergency Rehabilitation (Supplementary),PARD,PARD,02/08/2006,2,DVA,PS,Full Administration,Bilateral,Grant,Multisector,Sovereign
Australia,2006,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,6.1,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,7.4,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Australia,2007,82,0082/8241,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,14.5,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2007,95,2372/0095/2988/0337,36353-013,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,25.5,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2007,96,2373/0096,36353,CAM,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,8,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2007,101,2368/0087/0101/8232,38183,SAM,Power Sector Expansion,PARD,PAHQ,11/21/2007,8,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
Australia,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,8,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Australia,2008,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,0.47,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2008,104,2406/0104,41123,CAM,Road Asset Management,SERD,SEID,01/21/2008,4.8,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2009,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,01/19/2009,0.21,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2009,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,1.87,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2009,143,143,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,5.3,DVA,,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Australia,2009,177,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,4.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2009,187,2288/2602/0187,37269-023,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary),SERD,,12/15/2009,21.5,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2009,193,2168/7/13/75/0193,36601-013,SRI,North East Community Restoration and Development II (Supplementary),SARD,,12/17/2009,7.28,DVA,,Full Administration,Bilateral,Grant,Multisector,Sovereign
Australia,2009,,2521,43009,INO,Public Expenditure Support Facility Program,SERD,SEFM,06/03/2009,1000,Non-DVA,,,Bilateral,Loan,Public Sector Management,Sovereign
Australia,2010,209,2642/2643/0209,40354,VIE,Health Human Resources Sector Development Program,SERD,,06/22/2010,11,DVA,,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
Australia,2010,210,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,0.28,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2010,226,2686/0226/0425,44304-014,PNG,Microfinance Expansion,PARD,,10/28/2010,6,DVA,,Full Administration,Bilateral,Grant,Finance,Sovereign
Australia,2010,,243,,SOL,Transport Sector Development,PARD,,12/15/2010,30,DVA,,Collaborative,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2011,177,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,4.04,DVA,CFA/TF,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2011,259,2785/0259/8274,41509,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,40,DVA,,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
Australia,2011,263,2795/0263/0387,43072-013,KIR,South Tarawa Sanitation Improvement Sector,PARD,PAUS,10/17/2011,13.95,DVA,,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Australia,2011,265,G0264-0265,4239402,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,6.44,DVA,,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Australia,2011,0272 (CG),G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,15.6,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
Australia,2011,275,2832/G0275-76,42391,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,26.5,DVA,,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Australia,2011,276,2832/G0275-76,42391,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,4.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Australia,2011,2761 (CG),2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,35,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
Australia,2012,187,2288/2602/0187,37269-023,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),SERD,SETC,01/12/2012,0.96,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2012,210,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,2.14,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2012,285,2852/3125/0285,46009-003,CAM,Flood Damage Emergency Reconstruction,SERD,CARM,03/27/2012,5.25,DVA,PS,Full Administration,Bilateral,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
Australia,2012,289,G0272/0289,35174-082,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,3.47,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
Australia,2012,292,0127/0292/0293,40263-033,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,4.3,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
Australia,2013,336,336,45303-001,CAM,Rural Energy,SERD,SEEN,01/15/2013,6.11,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
Australia,2013,337,2372/0095/2988/0337,36353-013,VIE,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,SERD,SETC,02/11/2013,12.43,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2013,348,0347/0348/0444/0445/0446,43452-023,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,4.5,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
Australia,2013,353,3013/0353,40255-033,VIE,Central Mekong Delta Region Connectivity ,SERD,SETC,08/05/2013,134,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Australia,2014,3123 (CG),3123/8280,47315,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,48.83,DVA,PS,Collaborative,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Australia,2015,439,0438/0439,46346-002,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,4,DVA,PS,Full Administration,Bilateral,Grant,Water and Other Urban Infrastructure and Services,Sovereign
Australia,2015,443,0414/0424/0443,46455-004,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,4.74,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
Australia,2015,,442,47318-001,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,1.1,DVA,PS,Collaborative,Bilateral,Grant,Public Sector Management,Sovereign
"Australia,Australia",2012,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,0.74,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
"Australia,Australia",2012,317,2936-2937/G0316-0317,40190-023,VIE,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,11/06/2012,5.89,DVA,,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
"Australia,Australia",2014,285,2852/3125/0285,46009-003,CAM,Flood Damage Emergency Reconstruction ﾖ Additional Financing,SERD,CARM,04/11/2014,6.68,DVA,PS,Full Administration,Bilateral,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
"Australia,Australia",2014,402,3151/401/402/466/467/8299/8300,42334-014,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,6.67,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
"Australia,Australia",2015,336,336,45303-001,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,0.36,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
"Australia,Australia",2015,425,2686/0226/0425,44304-014,PNG,Microfinance Expansion ﾗ Additional Financing,PARD,PLCO,02/09/2015,2.85,DVA,PS,Full Administration,Bilateral,Grant,Finance,Sovereign
"Australia,Australia",2015,466,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,11.85,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
"Australia,Australia",2015,,458,47320-001,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,1.5,DVA,PS,Collaborative,Bilateral,Grant,Information and Communication Technology,Sovereign
"Australia,Australia",2016,,0473/0474,48478,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,1.8,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
Belgium,,,,,,,,,,15.21,,,,,,,
Belgium,1973,,0168-169,,PAK,Mangla Hydropower,CWRD,,12/17/1973,7.6,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Belgium,1986,,824,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,7.1,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Belgium,1997,,1537,,VIE,Lower Secondary Education Development,SERD,SESS,09/16/1997,0.51,Non-DVA,,,Bilateral,Grant,Education,Sovereign
Canada,,,,,,,,,,385.5,,,,,,,
Canada,1976,,0279-0280,,PAK,Port Qasim,CWRD,,11/18/1976,6.06,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Canada,1977,,0332/8010,,PAK,Tarbela Hydropower (Supplementary & Extension),CWRD,SAEN,12/15/1977,35,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Canada,1981,,523,,BAN,Power System Rehabilitation and Expansion,SARD,,09/22/1981,1.26,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
