,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
59,Australia,2007,96,2373/0096,36353,CAM,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,8.0,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
60,Australia,2007,101,2368/0087/0101/8232,38183,SAM,Power Sector Expansion,PARD,PAHQ,11/21/2007,8.0,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
61,Australia,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,8.0,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
62,Australia,2008,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,0.47,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
63,Australia,2008,104,2406/0104,41123,CAM,Road Asset Management,SERD,SEID,01/21/2008,4.8,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
64,Australia,2009,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,01/19/2009,0.21,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
65,Australia,2009,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,1.87,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
66,Australia,2009,143,143,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,5.3,DVA,,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
67,Australia,2009,177,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,4.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
68,Australia,2009,187,2288/2602/0187,37269-023,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary),SERD,,12/15/2009,21.5,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
69,Australia,2009,193,2168/7/13/75/0193,36601-013,SRI,North East Community Restoration and Development II (Supplementary),SARD,,12/17/2009,7.28,DVA,,Full Administration,Bilateral,Grant,Multisector,Sovereign
70,Australia,2009,,2521,43009,INO,Public Expenditure Support Facility Program,SERD,SEFM,06/03/2009,1000.0,Non-DVA,,,Bilateral,Loan,Public Sector Management,Sovereign
