,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
1306,Switzerland,1975,,217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,8.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1307,Switzerland,1979,,396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,5.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1308,Switzerland,1979,,440,,THA,Mae Moh (Unit 4) Power,SERD,SEID,12/14/1979,6.5,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1309,Switzerland,1980,,502,,THA,Power System Expansion,SERD,,12/19/1980,1.75,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1310,Switzerland,1982,,577,,INO,Second Agricultural Credit Package,SERD,,07/29/1982,0.43,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1311,Switzerland,1984,,700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,10.0,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1312,Switzerland,1984,,717,,THA,Mae Moh (Unit 8) Power,SERD,,12/11/1984,11.5,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1313,Switzerland,1985,,736,,THA,Shelter Sector,SERD,,04/23/1985,0.58,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1314,Switzerland,1985,,760,,PAK,Tarbela Units 13 & 14 and 500 kV Transmission,CWRD,,11/28/1985,9.4,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1315,Switzerland,1988,,928,,LAO,Nam-Ngum Luang Prabang Power Transmission,SERD,,12/06/1988,0.96,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1316,Switzerland,1989,,974,16142,NEP,Technical Education and Vocational Training Development,SARD,,09/28/1989,4.37,Non-DVA,,,Bilateral,Loan,Education,Sovereign
1317,Switzerland,1989,,976,,PAK,Swabi Salinity Control and Reclamation Project,CWRD,,10/26/1989,15.1,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1318,Switzerland,1989,,993,,SRI,Agriculture Rehabilitation,SARD,SAAE,11/28/1989,4.5,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1319,Switzerland,1996,,1443,,KGZ,Power & District Heating Rehab.,CWRD,,06/06/1996,4.6,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
1320,Switzerland,2000,,1817,,TAJ,Power Rehabilitation,CWRD,,12/20/2000,6.0,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
1321,Switzerland,2004,,2092,30232,NEP,Decentralized Rural Infrastructure and Livelihood,SARD,SAAE,09/24/2004,1.9,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1322,Switzerland,2006,56,2259/0056/8229,35297,LAO,Northern Region Sustainable Livelihoods through Livestock Development,SERD,SEAE,09/29/2006,3.5,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1323,Switzerland,2007,,0093/8234,,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,SARD,,12/12/2007,1.5,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
1324,Switzerland,2008,140,2425/0140,39408,BAN,Skills Development,SARD,SANS,12/17/2008,6.0,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
1325,Switzerland,2008,3899(L),1881/3899(L),31309,BAN,Post-Literacy and Continuing Education (Supplementary),SARD,SASS,07/01/2008,2.5,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
1326,Switzerland,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,3.4,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
1327,Switzerland,2009,3899(L),1881/3899(L),31309,BAN,Post-Literacy and Continuing Education (Supplementary) 2,SARD,SASS,06/10/2009,2.5,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
1328,Switzerland,2011,2796 (CG),2796/0267/8257,38426-023,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),SARD,SAER,10/31/2011,7.06,DVA,,Collaborative,Bilateral,Grant,Transport and ICT,Sovereign
1329,Switzerland,2014,391,3131/0391,42466-015,BAN,Skills for Employment Investment Program ﾖ Tranche 1,SARD,SAHS,06/03/2014,10.0,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
1331,"Taipei,China",1992,,1211,23132,PNG,Third Urban Water Supply,PARD,,12/15/1992,6.7,DVA,,Collaborative,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
1333,Thailand,1993,,1266,26366,LAO,Airports Improvement,SERD,SEID,11/18/1993,2.0,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
1334,Thailand,1999,,1727-1728,,REG,GMS: East-West Corridor (LAO and VIE),SERD,SEID,12/20/1999,25.0,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
1335,Thailand,2002,,1989,,LAO,GMS: Northern Economic Corridor,SERD,SEID,12/20/2002,28.5,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
1337,TRACECA,2000,,1774-1775,,REG,Almaty-Bishkek Regional Road Rehabilitation (KAZ and KGZ Components),CWRD,CWID,10/31/2000,0.8,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1339,Trust Fund for Forests,2006,60,2269/0060,34341,VIE,Forests for Livelihood Improvement in the Central Highlands Sector,SERD,SEAE,10/26/2006,8.0,DVA,PS,Full Administration,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1341,TYMTF,2016,472,3100/0472,46420-002,PHI,KALAHI-CIDSS National Community-Driven Development,SERD,SEHS,03/04/2016,5.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Education,Sovereign
1343,UAE,1973,171,0171-0172,40641,PAK,Multan Fertilizer,CWRD,,12/19/1973,31.32,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1344,UAE,1981,,541,,BAN,Chittagong Urea Fertilizer,SARD,AWFN,11/17/1981,25.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1346,UFPF-UCCRTF,2015,455,3316/0455,47127-002,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,4.0,DVA,FPF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Urban Infrastructure and Services,Sovereign
1347,UFPF-UCCRTF,2015,462,3340/0462,43237-013,VIE,Urban Environment and Climate Change Adaptation,SERD,SEUW,11/27/2015,4.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Urban Infrastructure and Services,Sovereign
1349,UFPF-UEIF,2012,314,2931/G0313-0314,43319-022,LAO,Greater Mekong Subregion East-West Economic Corridor Towns Development,SERD,SEUW,11/06/2012,0.64,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
1350,UFPF-UEIF,2012,329,2969/0329,43319-043,VIE,Greater Mekong Subregion Corridor Towns Development,SERD,SEUW,12/12/2012,1.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
1351,UFPF-UEIF,2012,334,2983/0334/0335/8265,43319-033,CAM,Greater Mekong Subregion Southern Economic Corridor Towns Development,SERD,SEUW,12/10/2012,1.5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
1352,UFPF-UEIF,2013,380,3098/3099/0380,45007-004,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,EARD,EASS,12/12/2013,3.7,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
1353,UFPF-UEIF,2014,399,3148/0399,43253-025,IND,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1,SARD,SAUW,07/29/2014,1.8,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Urban Infrastructure and Services,Sovereign
1354,UFPF-UEIF,2016,477,3389/0477,41665-013,PHI,Water District Development Sector,SERD,SEUW,04/22/2016,2.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Urban Infrastructure and Services,Sovereign
1356,"Uzbekistan,UFRD",2014,,3141,45306-001,UZB,Takhiatash Power Plant Efficiency Improvement,CWRD,CWEN,12/05/2014,270.0,DVA,,Collaborative,Bilateral,Loan,Energy,Sovereign
1358,UN Habitat,No Approval Date,,2046,32254-01,IND,Urban Water Supply and Environmental Improvement in Madhya Pradesh,SARD,SASS,,0.5,Non-DVA,,,Multilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
1360,UNCDF,1976,,293,,BAN,Serajgonj Integrated Rural Development,SARD,SAAE,12/23/1976,2.15,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
1361,UNCDF,1986,,790,,BHU,Roadworks Mechanization,SARD,,09/30/1986,1.2,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1362,UNCDF,1988,,911,,MLD,Male Port Development,SARD,,10/20/1988,4.1,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1363,UNCDF,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,2.25,Non-DVA,,,Multilateral,Grant,Public Sector Management,Sovereign
1365,UNDP,1971,68,68,,SAM,Beef Cattle Pilot Farm,PARD,,05/27/1971,0.1,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1366,UNDP,1974,,213,,BAN,Jute Seed,SARD,AWFN,12/19/1974,1.1,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1367,UNDP,1974,,215,,BAN,Bangladesh Railway,SARD,,12/23/1974,0.72,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1368,UNDP,1978,,361,,LAO,Forestry Development,SERD,SEAE,10/24/1978,0.59,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1369,UNDP,1978,,365,46265-001,THA,Kud Multipurpose,SERD,SERD,11/14/1978,0.2,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
1370,UNDP,1979,,404,,BAN,Chittagong Hill Tracts Development,SARD,SAAE,06/28/1979,0.71,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
1371,UNDP,1979,,418,,LAO,Casier Sud Pioneer Agricultural,SERD,SEAE,10/29/1979,0.86,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1372,UNDP,1979,,445,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0.7,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1373,UNDP,1979,,447,46495-002,NEP,Third Power,SARD,,12/21/1979,0.62,Non-DVA,,,Multilateral,Grant,Energy,Sovereign
1374,UNDP,1980,,453,,LAO,Agricultural Support Facilities,SERD,SEAE,03/20/1980,0.63,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1375,UNDP,1980,,462,,NEP,Aquaculture Development,SARD,SAAE,08/28/1980,1.37,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1376,UNDP,1980,,486,,SIN,Vocational and Industrial Training,SERD,,11/27/1980,0.53,Non-DVA,,,Multilateral,Grant,Education,Sovereign
1377,UNDP,1980,,489,,NEP,Fourth Agricultural Credit,SARD,SAAE,09/12/1980,1.1,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1378,UNDP,1980,,490,,NEP,Hill Irrigation (Western Region),SARD,SAAE,12/09/1980,0.9,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1379,UNDP,1981,,512,,NEP,Mini Hydropower,SARD,SAID,04/21/1981,0.75,Non-DVA,,,Multilateral,Grant,Energy,Sovereign
1380,UNDP,1981,,533,,NEP,Fourth Power,SARD,,11/01/1981,1.0,Non-DVA,,,Multilateral,Grant,Energy,Sovereign
1381,UNDP,1981,,555,,BAN,Community Forestry,SARD,SAAE,12/03/1981,1.84,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1382,UNDP,1981,,560,,NEP,Command Area Development,SARD,SAAE,12/15/1981,1.2,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1383,UNDP,1982,,573,,MYA,Second Forestry,SERD,SEAE,06/29/1982,0.65,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1384,UNDP,1982,,585,,SRI,Technical Education,SARD,,09/30/1982,0.7,Non-DVA,,,Multilateral,Grant,Education,Sovereign
1385,UNDP,1982,,596,,NEP,Second Hill Irrigation,SARD,SAAE,11/04/1982,1.37,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1386,UNDP,1982,,599,,NEP,Science Education,SARD,,11/18/1982,2.0,Non-DVA,,,Multilateral,Grant,Education,Sovereign
1387,UNDP,1982,,618,,THA,Songkhla Lake Basin Planning Study,SERD,,12/21/1982,0.5,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1388,UNDP,1983,,643,,LAO,Vientiane Plain Road Improvement,SERD,,10/11/1983,0.49,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1389,UNDP,1983,,657,,BAN,Bangladesh Krishi Bank,SARD,SAAE,11/29/1983,0.3,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1390,UNDP,1983,,671,,BAN,Ganges-Kobadak Rehabilitation & Improvement,SARD,SAAE,12/14/1983,1.4,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1391,UNDP,1983,,672,,BAN,Health and Family Planning Services,SARD,,12/14/1983,0.21,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1392,UNDP,1984,,684,,BAN,Second Railway,SARD,,06/26/1984,0.99,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1393,UNDP,1984,,699,,BAN,Secondary Science Education Sector,SARD,,10/23/1984,3.0,Non-DVA,,,Multilateral,Grant,Education,Sovereign
1394,UNDP,1984,,707,,SAM,Development Bank of Western Samoa V,PARD,,11/15/1984,0.05,Non-DVA,,,Multilateral,Grant,Finance,Sovereign
1395,UNDP,1984,,710,,PAK,Health and Population II,CWRD,,11/29/1984,0.5,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1396,UNDP,1985,,733,,BAN,Second Livestock Development,SARD,SAAE,02/05/1985,3.5,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1397,UNDP,1985,,744,,NEP,Cotton Development,SARD,SAAE,10/24/1985,1.4,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1398,UNDP,1985,,745,,NEP,Second Livestock Development,SARD,SAAE,10/24/1985,1.6,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1399,UNDP,1985,,749,,NEP,Third Forestry Development,SARD,,10/31/1985,0.32,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1400,UNDP,1985,,761,,PAK,Second Telecommunications,CWRD,,11/28/1985,1.6,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1401,UNDP,1986,,777,,MYA,Edible Oil,SERD,SEAE,02/04/1986,0.68,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1402,UNDP,1986,,788,,LAO,Second Road Improvement,SERD,,09/16/1986,1.2,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1403,UNDP,1986,,790,,BHU,Roadworks Mechanization,SARD,,09/30/1986,1.55,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1404,UNDP,1986,,791,,PAK,Cotton Development,CWRD,,09/30/1986,4.1,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1405,UNDP,1986,,792,18095,NEP,Second Aquaculture Development,SARD,AWFN,10/09/1986,0.96,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1406,UNDP,1986,,810,,PAK,Second Agricultural Dev. Bank of Pakistan,CWRD,,12/04/1986,0.96,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1407,UNDP,1986,,819,,BAN,Khulna Coastal Embankment,SARD,SAAE,12/11/1986,1.2,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1408,UNDP,1986,,821,,BAN,Second Aquaculture Development,SARD,,12/16/1986,2.65,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1409,UNDP,1987,845,845,,PRC,China Investment Bank,EARD,,10/08/1987,0.4,Non-DVA,,,Multilateral,Grant,Industry and Trade,Sovereign
1410,UNDP,1987,,831,,NEP,Fifth Agricultural Credit (ADB IV),SARD,,04/07/1987,0.2,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1411,UNDP,1987,,839,,BAN,Road Improvement,SARD,,08/27/1987,1.2,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1412,UNDP,1987,,846,,LAO,Xeset Hydropower,SERD,,10/27/1987,1.76,Non-DVA,,,Multilateral,Grant,Energy,Sovereign
1413,UNDP,1987,,851,,PAK,Fruit and Vegetable Marketing,CWRD,,10/29/1987,1.0,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1414,UNDP,1987,,859,,NEP,Hill Fruit Development,SARD,AWFN,11/10/1987,1.04,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1415,UNDP,1987,,864,,SRI,Second Road Improvement,SARD,,11/24/1987,0.15,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1416,UNDP,1987,,866,,LAO,Third Road Improvement,SERD,,11/24/1987,1.13,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1417,UNDP,1987,,880,,PRC,Fuel Conversion,EARD,,12/21/1987,0.35,Non-DVA,,,Multilateral,Grant,Energy,Sovereign
1418,UNDP,1988,,882,,BAN,Flood Rehabilitation (Flood Control & Rehab),SARD,,02/04/1988,0.08,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1419,UNDP,1988,,902,20221,PAK,Small-Scale Industry,CWRD,,09/22/1988,1.2,Non-DVA,,,Multilateral,Grant,Industry and Trade,Sovereign
1420,UNDP,1989,,956,,BAN,Upazila Afforestation and Nursery Development,SARD,AWFN,03/30/1989,1.9,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1421,UNDP,1989,,1005,,FIJ,Low Income Housing Development,PARD,,12/21/1989,0.3,Non-DVA,,,Multilateral,Grant,Finance,Sovereign
1422,UNDP,1989,,1009,,LAO,Fourth Road Improvement,SERD,SEID,12/21/1989,0.3,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
1423,UNDP,1989,,1010,,BAN,Horticulture Development,SARD,SAAE,12/21/1989,2.8,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1424,UNDP,1990,,1012,21220,PAK,Second Barani Area Development,CWRD,,02/20/1990,0.69,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1425,UNDP,1990,,1035,,BHU,Technical and Vocational Education and Training,SARD,,09/27/1990,2.1,Non-DVA,,,Multilateral,Grant,Education,Sovereign
1426,UNDP,1990,,1063,,LAO,Xeset Hydropower (Supplementary),SERD,,12/11/1990,0.88,Non-DVA,,,Multilateral,Grant,Energy,Sovereign
1427,UNDP,1991,,1112,,NEP,Sixth Agricultural Credit,SARD,AWAR,10/31/1991,0.69,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1428,UNDP,1991,,1123,,BAN,Higher Secondary Education,SARD,,11/21/1991,2.9,Non-DVA,,,Multilateral,Grant,Education,Sovereign
1429,UNDP,1999,,1703,,PNG,Financial Management,PARD,,10/21/1999,0.5,Non-DVA,,,Multilateral,Grant,Public Sector Management,Sovereign
1430,UNDP,2002,,1939,,CAM,Tonle Sap Environmental Management,SERD,SEAE,11/21/2002,0.61,Non-DVA,,,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
1431,UNDP,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,4.7,Non-DVA,,,Multilateral,Grant,Public Sector Management,Sovereign
1433,UNFPA,1997,,1538,,BAN,Urban Primary Health Care,SARD,SASS,09/16/1997,4.24,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1434,UNFPA,2000,,1777,,VIE,Rural Health,SERD,SESS,11/09/2000,0.5,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1435,UNFPA,2005,,2172/0008/0009/0010,36296,BAN,Second Urban Primary Health Care,SARD,SASS,05/31/2005,2.0,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1436,UNFPA,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,9.15,Non-DVA,,,Multilateral,Grant,Public Sector Management,Sovereign
1438,UNICEF,1976,,293,,BAN,Serajgonj Integrated Rural Development,SARD,SAAE,12/23/1976,0.2,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
1439,UNICEF,1996,,1446,,CAM,Basic Education Textbooks,SERD,SESS,06/20/1996,5.19,Non-DVA,,,Multilateral,Grant,Education,Sovereign
1440,UNICEF,2000,,1777,,VIE,Rural Health,SERD,SESS,11/09/2000,1.0,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1441,UNICEF,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,13.9,Non-DVA,,,Multilateral,Grant,Public Sector Management,Sovereign
1442,UNICEF,2011,0272 (CG),G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,1.0,DVA,,Collaborative,Multilateral,Grant,Education,Sovereign
1443,UNICEF,2011,2761 (CG),2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,0.5,DVA,,Collaborative,Multilateral,Grant,Education,Sovereign
1444,UNICEF,2015,,3256,42122-013,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,0.1,DVA,PS,Collaborative,Multilateral,Grant,Education,Sovereign
1446,United Nations Volunteers,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,0.5,Non-DVA,,,Multilateral,Grant,Public Sector Management,Sovereign
1448,UNODC,1999,,1688,,LAO,Shifting Cultivation Stabilization Pilot,SERD,SEAE,05/11/1999,2.1,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
1450,UNOPS,2004,,2105,37136,AFG,Regional Airports Rehabilitation Phase I,CWRD,CWTC,11/23/2004,2.0,Non-DVA,,,Multilateral,Grant,Transport,Sovereign
1452,Uzbekistan,2015,,3286,41340-015,UZB,Advanced Electricity Metering Phase 4,CWRD,CWEN,09/18/2015,70.0,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
1453,"Uzbekistan,UFRD",2014,,3141,45306-001,UZB,Takhiatash Power Plant Efficiency Improvement,CWRD,CWEN,12/05/2014,270.0,DVA,,Collaborative,Bilateral,Loan,Energy,Sovereign
1455,U.K.,1975,,217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,16.9,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1456,U.K.,1976,,0279-0280,,PAK,Port Qasim,CWRD,,11/18/1976,21.84,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
1457,U.K.,1976,,289,,SOL,Beef Cattle Development,PARD,,12/21/1976,0.52,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1458,U.K.,1978,,345,,FIJ,Second Power,PARD,PARD,06/29/1978,9.1,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1459,U.K.,1981,,536,,FIJ,Third Power,PARD,,11/10/1981,12.11,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1460,U.K.,1982,,585,,SRI,Technical Education,SARD,,09/30/1982,0.19,Non-DVA,,,Bilateral,Grant,Education,Sovereign
1461,U.K.,1984,,683,,BAN,Sixth Power (Sector Loan),SARD,,06/14/1984,22.2,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1462,U.K.,1984,,700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,35.7,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1463,U.K.,1984,,712,,SRI,Plantation Sector,SARD,SAAE,12/04/1984,5.5,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1464,U.K.,1987,,850,,PAK,Third Health,CWRD,,10/29/1987,3.7,Non-DVA,,,Bilateral,Loan,Health and Social Protection,Sovereign
1465,U.K.,1987,,858,,BAN,"Padma Textile Mills, Ltd.",SARD,,11/10/1987,2.5,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1466,U.K.,1988,,893,,IND,"Andhra Petrochemicals, Ltd.",SARD,,11/01/1988,3.2,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1467,U.K.,1988,,925,17003,PAK,KESC Fifth Power (Sector),CWRD,,11/01/1988,12.2,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1468,U.K.,1989,,963,,BAN,Eighth Power,SARD,SAID,07/11/1989,98.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1469,U.K.,1989,,1001,,PAK,Karachi Sewerage,CWRD,SAAE,12/14/1989,2.4,Non-DVA,,,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
1470,U.K.,1989,,1003,,PAK,"Fauji Fertilizer Co., Ltd.",PSOD,PSOD,12/19/1989,15.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Non-Sovereign
1471,U.K.,1991,,1085,,PHI,Shemberg Biotech Corporation,SERD,,06/06/1991,4.7,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1472,U.K.,1991,,1101,,PAK,Kotri Barrage Rehabilitation,CWRD,,09/26/1991,15.8,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1473,U.K.,1991,,1142,,IND,CESC Limited II,SARD,,12/13/1991,32.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1474,U.K.,1992,,1161,,IND,Power Efficiency (Sector),SARD,,03/26/1992,88.73,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1475,U.K.,1992,,1196,,NEP,Secondary Education Development,SARD,NRM,11/24/1992,6.3,Non-DVA,,,Bilateral,Grant,Education,Sovereign
1476,U.K.,1993,,1227,,INO,P.T. Wiraswasta Gemilang Indonesia,SERD,,04/22/1993,20.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1477,U.K.,1993,,1230,,PHI,Hopewell Power (Philippines) Corp.,PSOD,PSOD,05/18/1993,35.0,Non-DVA,,,Bilateral,Loan,Energy,Non-Sovereign
1478,U.K.,1993,,1252,,PHI,Bukidnon Resources Co. Inc.,SERD,,09/21/1993,6.8,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1479,U.K.,1993,,1255,,PAK,Fauji Oil Terminal & Distribution Co.Ltd.,PSOD,,09/30/1993,18.0,Non-DVA,,,Bilateral,Loan,Transport and ICT,Non-Sovereign
